Ya Verdad,Golden Pollen,Savath & Savalas,266.4,0.579,0.364,2007ø
Vidas Animadas,Golden Pollen,Savath & Savalas,172.6,0.579,0.364,2007ø
Um Girassol Da Cor De Seu Cabelo,Apropa't,Savath & Savalas,188.4,0.579,0.364,2004ø
Tormenta De La Flor,Golden Pollen,Savath & Savalas,142.2,0.579,0.364,2007ø
Tiempo,Golden Pollen,Savath & Savalas,57.5,0.579,0.364,2007ø
Sigue Tu Camino (No Sabes Amar&),Apropa't,Savath & Savalas,126.8,0.579,0.364,2004ø
Radio Llocs Espacials,Apropa't,Savath & Savalas,106.9,0.579,0.364,2004ø
Paisaje,Golden Pollen,Savath & Savalas,215.4,0.579,0.364,2007ø
Olhos,Golden Pollen,Savath & Savalas,69.5,0.579,0.364,2007ø
Mi Hijo,Golden Pollen,Savath & Savalas,355.4,0.579,0.364,2007ø
Intro.,Golden Pollen,Savath & Savalas,84.5,0.579,0.364,2007ø
Interludio 44,Apropa't,Savath & Savalas,93.1,0.579,0.364,2004ø
Faltamos Palabras,Golden Pollen,Savath & Savalas,169.9,0.579,0.364,2007ø
Era Tu,Golden Pollen,Savath & Savalas,152.3,0.579,0.364,2007ø
El Solitario,Golden Pollen,Savath & Savalas,226.8,0.579,0.364,2007ø
Concreto,Golden Pollen,Savath & Savalas,316.5,0.579,0.364,2007ø
Colores Sin Nombre,Apropa't,Savath & Savalas,134.2,0.579,0.364,2004ø
Apnea Obstructiva,Golden Pollen,Savath & Savalas,295.2,0.579,0.364,2007ø
A La Nit,Apropa't,Savath & Savalas,204.6,0.579,0.364,2004ø
