Un Tramp Sur La Rue (The Tramp On The Street),Sam's Big Rooster,Savoy-Doucet Cajun Band,293.6,0.343,0.27,2000ø
Two Step D'amede,Two-Step D'amede,Savoy-Doucet Cajun Band,167.2,0.343,0.27,1993ø
Ton Papa M'a Jete Dehors,Two-Step D'amede,Savoy-Doucet Cajun Band,250.7,0.343,0.27,1993ø
She Made Me Lose My Mind,Sam's Big Rooster,Savoy-Doucet Cajun Band,198.1,0.343,0.27,2000ø
Sam's Big Rooster (Le Gros Guime A Sam),Sam's Big Rooster,Savoy-Doucet Cajun Band,239.4,0.343,0.27,2000ø
Reno Waltz,Home Music With Spirits,Savoy-Doucet Cajun Band,224.3,0.343,0.27,1993ø
Quitte La Maison,Two-Step D'amede,Savoy-Doucet Cajun Band,161.7,0.343,0.27,1990ø
Quelle Etoile (Which Star),Home Music With Spirits,Savoy-Doucet Cajun Band,204.3,0.343,0.27,1993ø
Quelle Etoile,The Best Of The Savoy-Doucet Cajun Band,Savoy-Doucet Cajun Band,204.4,0.343,0.27,1993ø
Pretty Rosey Cheeks,Two-Step D'amede,Savoy-Doucet Cajun Band,227.0,0.343,0.27,1993ø
Port Arthur Blues,Home Music With Spirits,Savoy-Doucet Cajun Band,204.7,0.343,0.27,1993ø
Pine Grove Blues (La Negress),Two-Step D'amede,Savoy-Doucet Cajun Band,314.1,0.343,0.27,1993ø
Petite Ou La Grosse (Little Or Big_ They're All The Same),Live! At The Dance,Savoy-Doucet Cajun Band,267.3,0.343,0.27,2004ø
Party Girl's Blues,Sam's Big Rooster,Savoy-Doucet Cajun Band,156.0,0.343,0.27,2000ø
One-Step De Chameau,The Best Of The Savoy-Doucet Cajun Band,Savoy-Doucet Cajun Band,242.2,0.343,0.27,1993ø
Mon Chere Bebe Creole (Tribute To Dennis,Home Music With Spirits,Savoy-Doucet Cajun Band,275.3,0.343,0.27,1993ø
Melville Two-Step,Home Music With Spirits,Savoy-Doucet Cajun Band,159.5,0.343,0.27,1993ø
Mardi Gras Jig,Sam's Big Rooster,Savoy-Doucet Cajun Band,363.3,0.343,0.27,2000ø
Les Culottes A Lollypop (Lollypop's Underwear),Sam's Big Rooster,Savoy-Doucet Cajun Band,160.3,0.343,0.27,2000ø
Lapin Dans Son Nique,Two-Step D'amede,Savoy-Doucet Cajun Band,259.9,0.343,0.27,1993ø
La Valse J'aime (The Waltz I Love),Home Music With Spirits,Savoy-Doucet Cajun Band,210.0,0.343,0.27,1993ø
La Valse Du Malchanceux (The Unlucky Waltz),Live! At The Dance,Savoy-Doucet Cajun Band,317.9,0.343,0.27,2004ø
La Valse Du Malchanceux,The Best Of The Savoy-Doucet Cajun Band,Savoy-Doucet Cajun Band,316.4,0.343,0.27,2004ø
La Valse Des Reids,Live! At The Dance,Savoy-Doucet Cajun Band,231.3,0.343,0.27,2004ø
La Valse De Marie,Two-Step D'amede,Savoy-Doucet Cajun Band,284.3,0.343,0.27,1993ø
La Valse D'orphelin (The Orphan Waltz),Live! At The Dance,Savoy-Doucet Cajun Band,281.9,0.343,0.27,2004ø
La Valse D'evia,Sam's Big Rooster,Savoy-Doucet Cajun Band,262.3,0.343,0.27,2000ø
La Talle D'eronces (The Briar Buxh),Live! At The Dance,Savoy-Doucet Cajun Band,291.2,0.343,0.27,2004ø
La Danse De Mardi Gras (The Mardi Gras Dance),Live! At The Dance,Savoy-Doucet Cajun Band,286.4,0.343,0.27,2004ø
La Danse De Limonade,Two-Step D'amede,Savoy-Doucet Cajun Band,188.5,0.343,0.27,1993ø
La Bonne Vie (The Good Life),Sam's Big Rooster,Savoy-Doucet Cajun Band,272.9,0.343,0.27,2000ø
Jolie Bassette,Sam's Big Rooster,Savoy-Doucet Cajun Band,223.2,0.343,0.27,2000ø
J'aimerais Connaitre (I'd Like To Know),Two-Step D'amede,Savoy-Doucet Cajun Band,194.8,0.343,0.27,1993ø
J. B.'S Waltz,Sam's Big Rooster,Savoy-Doucet Cajun Band,176.4,0.343,0.27,2000ø
Home Sweet Home,Live! At The Dance,Savoy-Doucet Cajun Band,59.1,0.343,0.27,2004ø
Good-Bye_ Brown Eyes,Two-Step D'amede,Savoy-Doucet Cajun Band,173.9,0.343,0.27,1993ø
Flammes D'enfer,Two-Step D'amede,Savoy-Doucet Cajun Band,394.4,0.343,0.27,1993ø
Evangeline Special,Home Music With Spirits,Savoy-Doucet Cajun Band,195.0,0.343,0.27,1993ø
Doc Guidry Medley - Tit Maurice/ Doc's Fiddle,Sam's Big Rooster,Savoy-Doucet Cajun Band,213.3,0.343,0.27,2000ø
Bosco Stomp,Home Music With Spirits,Savoy-Doucet Cajun Band,247.8,0.343,0.27,1993ø
Baby And The Gambler & the Happy One-Step,Home Music With Spirits,Savoy-Doucet Cajun Band,268.9,0.343,0.27,1993ø
Aux Natchitoches,Home Music With Spirits,Savoy-Doucet Cajun Band,200.1,0.343,0.27,1993ø
Amede Two Step (Two Step Pour Amadee Ardoin),Sam's Big Rooster,Savoy-Doucet Cajun Band,400.2,0.343,0.27,2000ø
