Wood Beez (Pray Like Aretha Franklin),Wood Beez (Pray Like Aretha Franklin),Scritti Politti,212.9,0.601,0.447,1985ø
Wood Beez,Cupid And Psyche '85,Scritti Politti,286.9,0.601,0.447,1998ø
When I Was Happy,Snow In Sun / Robin Hood,Scritti Politti,114.1,0.601,0.447,2006ø
Tinseltown To The Boogiedown (Rob Swift Variation),Tinseltown To The Boogiedown,Scritti Politti,281.6,0.601,0.447,1999ø
Tinseltown To The Boogiedown (Psycho Les Variation),Tinseltown To The Boogiedown,Scritti Politti,305.3,0.601,0.447,1999ø
Tinseltown To The Boogiedown (Pete Rock Variation),Tinseltown To The Boogiedown,Scritti Politti,283.0,0.601,0.447,1999ø
Tinseltown To The Boogiedown (Ali Shaheed Muhammed Variation),Tinseltown To The Boogiedown,Scritti Politti,256.8,0.601,0.447,1999ø
Tinseltown To The Boogiedown,Anomie & Bonhomie,Scritti Politti,296.8,0.601,0.447,1999ø
Throw,White Bread Black Beer,Scritti Politti,200.1,0.601,0.447,2006ø
The Word Girl,The Word Girl,Scritti Politti,263.4,0.601,0.447,1985ø
The Sweetest Girl (2001 Digital Remaster),Songs To Remember,Scritti Politti,375.6,0.601,0.447,1982ø
Sugar And Spice,Provision,Scritti Politti,251.0,0.601,0.447,1988ø
Smith 'N' Slappy,Anomie & Bonhomie,Scritti Politti,293.6,0.601,0.447,1999ø
Small Talk,Cupid And Psyche '85,Scritti Politti,219.3,0.601,0.447,1985ø
She's A Woman (The William Orbit Remix),She's A Woman,Scritti Politti,338.9,0.601,0.447,1991ø
She's A Woman (The Apollo 440 Remix),She's A Woman,Scritti Politti,353.0,0.601,0.447,1991ø
She's A Woman (Tautology Business Mix),She's A Woman,Scritti Politti,290.6,0.601,0.447,1991ø
Sex (2001 Digital Remaster),Songs To Remember,Scritti Politti,261.7,0.601,0.447,1982ø
Rock-a-boy Blue (2001 Digital Remaster),Songs To Remember,Scritti Politti,349.8,0.601,0.447,1982ø
Robin Hood,Snow In Sun / Robin Hood,Scritti Politti,192.7,0.601,0.447,2006ø
Prince Among Men,Anomie & Bonhomie,Scritti Politti,286.8,0.601,0.447,1999ø
Petrococadollar,White Bread Black Beer,Scritti Politti,204.6,0.601,0.447,2006ø
Perfect Way (Album Version),Cupid & Psyche 85,Scritti Politti,273.2,0.601,0.447,1985ø
Perfect Way,Cupid And Psyche '85,Scritti Politti,283.0,0.601,0.447,1985ø
P.A.s,Early,Scritti Politti,361.6,0.601,0.447,2005ø
Opec - Immac,Early,Scritti Politti,194.2,0.601,0.447,2005ø
No Fine Lines,White Bread Black Beer,Scritti Politti,103.2,0.601,0.447,2006ø
Mrs. Hughes,White Bread Black Beer,Scritti Politti,382.7,0.601,0.447,2006ø
Messthetics,Early,Scritti Politti,108.6,0.601,0.447,1979ø
Lover To Fall (Album Version),Cupid & Psyche 85,Scritti Politti,231.6,0.601,0.447,1985ø
Lover To Fall,Cupid And Psyche '85,Scritti Politti,252.0,0.601,0.447,1985ø
Locked,White Bread Black Beer,Scritti Politti,257.9,0.601,0.447,2006ø
Lions After Slumber (2001 Digital Remaster),Songs To Remember,Scritti Politti,370.7,0.601,0.447,1982ø
Lions After Slumber,Early,Scritti Politti,300.0,0.601,0.447,1982ø
Jacques Derrida (2001 Digital Remaster),Songs To Remember,Scritti Politti,298.3,0.601,0.447,1982ø
Is and Ought the Western World,Early,Scritti Politti,227.8,0.601,0.447,1978ø
Hypnotize,Cupid And Psyche '85,Scritti Politti,214.1,0.601,0.447,1985ø
Gettin' Havin' And Holdin' (2001 Digital Remaster),Songs To Remember,Scritti Politti,316.3,0.601,0.447,1982ø
Flesh And Blood (Album Version),Cupid & Psyche 85,Scritti Politti,335.9,0.601,0.447,1985ø
First Goodbye,Anomie & Bonhomie,Scritti Politti,312.8,0.601,0.447,1999ø
First Boy In This Town (Lovesick),Provision,Scritti Politti,262.5,0.601,0.447,1988ø
Faithless (2001 Digital Remaster),Songs To Remember,Scritti Politti,253.3,0.601,0.447,1982ø
E Eleventh Nuts,White Bread Black Beer,Scritti Politti,173.1,0.601,0.447,2006ø
Dr. Abernathy,White Bread Black Beer,Scritti Politti,393.0,0.601,0.447,2006ø
Doubt Beat,Early,Scritti Politti,226.5,0.601,0.447,2005ø
Dead Certainty,Tinseltown To The Boogiedown,Scritti Politti,260.3,0.601,0.447,1999ø
Confidence,Early,Scritti Politti,187.9,0.601,0.447,2005ø
Brushed With Oil_ Dusted With Powder,Anomie & Bonhomie,Scritti Politti,365.0,0.601,0.447,1999ø
Born To Be,Anomie & Bonhomie,Scritti Politti,233.0,0.601,0.447,1999ø
Boom! There She Was (Dub),Provision,Scritti Politti,433.1,0.601,0.447,1988ø
Boom! There She Was,Provision,Scritti Politti,298.9,0.601,0.447,1988ø
Asylums In Jerusalem (2001 Digital Remaster),Songs To Remember,Scritti Politti,194.5,0.601,0.447,1982ø
Am I Right In Thinking,Am I Right In Thinking,Scritti Politti,291.1,0.601,0.447,2006ø
All That We Are,Provision,Scritti Politti,211.6,0.301,0.447,1988ø
After Six,White Bread Black Beer,Scritti Politti,133.5,0.601,0.447,2006ø
Absolute (Version),Cupid And Psyche '85,Scritti Politti,371.6,0.601,0.447,1985ø
A Slow Soul (2001 Digital Remaster),Songs To Remember,Scritti Politti,195.9,0.601,0.447,1982ø
A Little Knowledge,Cupid And Psyche '85,Scritti Politti,300.3,0.601,0.447,1985ø
28/8/78,Early,Scritti Politti,161.1,0.601,0.447,1978ø
