Upside Down,Backbooth,Seven Mary Three,262.0,0.653,0.419,2008ø
Times Like These (LP Version),Rock Crown,Seven Mary Three,274.1,0.653,0.419,1997ø
This Evenings Great Excuse (LP Version),Rock Crown,Seven Mary Three,252.3,0.653,0.419,1997ø
Super-Related (LP Version),Orange Ave.,Seven Mary Three,204.1,0.653,0.419,1998ø
Southwestern State (LP Version),Orange Ave.,Seven Mary Three,284.2,0.653,0.419,1998ø
Southwestern State,Backbooth,Seven Mary Three,350.5,0.653,0.419,1998ø
She Wants Results,Backbooth,Seven Mary Three,261.3,0.653,0.419,2008ø
Rock Crown (LP Version),Rock Crown,Seven Mary Three,165.5,0.653,0.419,1997ø
Player Piano (LP Version),Rock Crown,Seven Mary Three,138.9,0.653,0.419,1997ø
People Like New (LP Version),Rock Crown,Seven Mary Three,238.1,0.653,0.419,1997ø
Peel  (LP Version),Orange Ave.,Seven Mary Three,128.8,0.653,0.419,1998ø
Over Your Shoulder (LP Version),Orange Ave.,Seven Mary Three,258.6,0.653,0.419,1998ø
Oven (LP Version),Rock Crown,Seven Mary Three,362.1,0.653,0.419,1997ø
Oceans of Envy,Backbooth,Seven Mary Three,211.4,0.653,0.419,2004ø
Needle Can't Burn (What The Needle Can't Find) (LP Version),Rock Crown,Seven Mary Three,142.6,0.653,0.419,1997ø
Make Up Your Mind (LP Version),Rock Crown,Seven Mary Three,152.0,0.653,0.419,1997ø
Lucky (LP Version),Rock Crown,Seven Mary Three,238.0,0.653,0.419,1997ø
Lucky,Backbooth,Seven Mary Three,252.4,0.653,0.419,1997ø
Laughing Out Loud,Backbooth,Seven Mary Three,211.0,0.653,0.419,2008ø
Joliet (LP Version),Orange Ave.,Seven Mary Three,262.5,0.653,0.419,1998ø
In-Between   (LP Version),Orange Ave.,Seven Mary Three,189.3,0.653,0.419,1998ø
I Could Be Wrong  (LP Version),Rock Crown,Seven Mary Three,226.8,0.653,0.419,1997ø
Houdini's Angels (LP Version),Rock Crown,Seven Mary Three,209.3,0.653,0.419,1997ø
Home Stretch (LP Version),Rock Crown,Seven Mary Three,181.6,0.653,0.419,1997ø
Home Stretch,Backbooth,Seven Mary Three,209.0,0.653,0.419,1997ø
Hang On (LP Version),Orange Ave.,Seven Mary Three,179.3,0.653,0.419,1998ø
Hammer & a Stone,Backbooth,Seven Mary Three,283.2,0.653,0.419,2008ø
Gone Away (LP Version),Rock Crown,Seven Mary Three,131.1,0.653,0.419,1997ø
Flagship Eleanor (LP Version),Orange Ave.,Seven Mary Three,182.9,0.653,0.419,1998ø
Flagship Eleanor,Backbooth,Seven Mary Three,170.0,0.653,0.419,1998ø
Each Little Mystery (LP Version),Orange Ave.,Seven Mary Three,166.7,0.653,0.419,1998ø
Each Little Mystery,Backbooth,Seven Mary Three,193.7,0.653,0.419,1998ø
Dreaming Against Me,Backbooth,Seven Mary Three,187.1,0.653,0.419,2008ø
Devil's Holy Joke  (LP Version),Orange Ave.,Seven Mary Three,498.4,0.653,0.419,1998ø
Dead Days in the Kitchen,Backbooth,Seven Mary Three,221.1,0.653,0.419,2008ø
Chasing You (LP Version),Orange Ave.,Seven Mary Three,218.4,0.653,0.419,1998ø
Blessing In Disguise (LP Version),Orange Ave.,Seven Mary Three,273.2,0.653,0.419,1998ø
