Suavecito,Son: Soul Of A Nation,Sierra Maestra,183.9,0.502,0.393,2005ø
Si Me Pudieras Querer,Son: Soul Of A Nation,Sierra Maestra,196.4,0.502,0.393,2005ø
Semilla De Cana Brava,Rumbero Soy,Sierra Maestra,258.4,0.502,0.393,2002ø
Santa Isabel De Las Lajas,Son: Soul Of A Nation,Sierra Maestra,202.3,0.502,0.393,2005ø
Sangre Negra,Sonando Ya,Sierra Maestra,297.9,0.502,0.393,2010ø
Pal' Monte,Sonando Ya,Sierra Maestra,229.7,0.502,0.393,2010ø
Pa' Quien Un Pollito (Version Libre),Son: Soul Of A Nation,Sierra Maestra,204.1,0.502,0.393,2005ø
Olvido,Son: Soul Of A Nation,Sierra Maestra,179.4,0.502,0.393,2005ø
No Hay Como Mi Son (Mi Son_ Mi Son_ Mi Son),Son: Soul Of A Nation,Sierra Maestra,183.1,0.502,0.393,2005ø
Me Guardas Rencor,Sonando Ya,Sierra Maestra,199.8,0.502,0.393,2010ø
Marieta,Tibiri Tabara,Sierra Maestra,122.2,0.502,0.393,1997ø
Macuterendey,Rumbero Soy,Sierra Maestra,290.0,0.502,0.393,2002ø
La Yuca De Casimiro (Dile A Catalina),Son: Soul Of A Nation,Sierra Maestra,214.3,0.502,0.393,2005ø
La Vida Sin Ti,Sonando Ya,Sierra Maestra,240.8,0.502,0.393,2010ø
La Mulata Presumida,Sonando Ya,Sierra Maestra,236.8,0.502,0.393,2010ø
La Caminadora,Rumbero Soy,Sierra Maestra,347.8,0.502,0.393,2002ø
Junto A Un Canaveral,Rumbero Soy,Sierra Maestra,279.0,0.502,0.393,2002ø
Felipe Blanco,Tibiri Tabara,Sierra Maestra,236.7,0.502,0.393,1997ø
Estado De Animo,Sonando Ya,Sierra Maestra,176.8,0.502,0.393,2010ø
En el silencio de la noche,Tibiri Tabara,Sierra Maestra,267.7,0.502,0.393,1997ø
El Son No Puede Fallar,Son: Soul Of A Nation,Sierra Maestra,170.0,0.502,0.393,2005ø
El Son Es Para Siempre,Son: Soul Of A Nation,Sierra Maestra,165.6,0.502,0.393,2005ø
El Paso Franco-Bardo,Son: Soul Of A Nation,Sierra Maestra,235.7,0.502,0.393,2005ø
El Mas Pequeno Deseo,Sonando Ya,Sierra Maestra,230.5,0.502,0.393,2010ø
El guararey de Pastora,Tibiri Tabara,Sierra Maestra,189.0,0.502,0.393,1997ø
Convergencia,Rumbero Soy,Sierra Maestra,201.0,0.502,0.393,2002ø
Con la Espuela,Tibiri Tabara,Sierra Maestra,287.5,0.502,0.393,1997ø
Como Me Gusta Maria,Rumbero Soy,Sierra Maestra,250.0,0.502,0.393,2002ø
Carnaval En Camaguey,Rumbero Soy,Sierra Maestra,270.0,0.502,0.393,2002ø
Camina Como Chencha,Rumbero Soy,Sierra Maestra,233.2,0.502,0.393,2002ø
Bruca Manigua,Son: Soul Of A Nation,Sierra Maestra,277.5,0.502,0.393,1998ø
Benito Hechizo,Sonando Ya,Sierra Maestra,288.6,0.502,0.393,2010ø
Ausencia/Aurora/Se Fue/La Mora,Son: Soul Of A Nation,Sierra Maestra,261.4,0.502,0.393,2005ø
Anabacoa,Tibiri Tabara,Sierra Maestra,307.5,0.502,0.393,1997ø
Ai Vaiven De Mi Carreta,Son: Soul Of A Nation,Sierra Maestra,215.2,0.502,0.393,2005ø
A Una Mujer,Sonando Ya,Sierra Maestra,193.9,0.502,0.393,2010ø
A Ti_ No Te Sale!!,Sonando Ya,Sierra Maestra,245.4,0.502,0.393,2010ø
A La Loma De Belen,Son: Soul Of A Nation,Sierra Maestra,205.6,0.502,0.393,2005ø
