What Separates Us All,This Sinking Ship,Smoke Or Fire,147.1,0.739,0.461,2007ø
This Sinking Ship,This Sinking Ship,Smoke Or Fire,204.4,0.739,0.461,2007ø
The Patty Hearst Syndrome,This Sinking Ship,Smoke Or Fire,180.3,0.739,0.461,2007ø
The Hard Way,Above The City,Smoke Or Fire,113.5,0.739,0.461,2005ø
Speak Easy,Prehistoric Knife Fight,Smoke Or Fire,128.8,0.739,0.461,2010ø
Southpaw,Above The City,Smoke Or Fire,110.0,0.739,0.461,2005ø
Shine,This Sinking Ship,Smoke Or Fire,215.5,0.739,0.461,2007ø
Modesty,Prehistoric Knife Fight,Smoke Or Fire,143.5,0.739,0.461,2010ø
Melatonin,This Sinking Ship,Smoke Or Fire,130.4,0.739,0.461,2006ø
Loving_ Self-Loathing,Above The City,Smoke Or Fire,115.6,0.739,0.461,2005ø
Little Bohemia,This Sinking Ship,Smoke Or Fire,123.7,0.739,0.461,2007ø
Life Imitating Art,This Sinking Ship,Smoke Or Fire,127.0,0.739,0.461,2007ø
Irish Handcuffs,This Sinking Ship,Smoke Or Fire,207.7,0.739,0.461,2007ø
I'll Be Gone,This Sinking Ship,Smoke Or Fire,154.1,0.739,0.461,2007ø
Goodbye To Boston,Above The City,Smoke Or Fire,151.7,0.739,0.461,2005ø
Folding the Pages,This Sinking Ship,Smoke Or Fire,246.1,0.739,0.461,2007ø
Fire Escapes,Above The City,Smoke Or Fire,99.2,0.739,0.461,2005ø
Filter,Above The City,Smoke Or Fire,111.5,0.739,0.461,2005ø
Delawhere,Above The City,Smoke Or Fire,89.7,0.739,0.461,2005ø
Culture As Given,Above The City,Smoke Or Fire,110.0,0.739,0.461,2005ø
Cryin' Shame,Above The City,Smoke Or Fire,165.0,0.739,0.461,2005ø
Cops And Drugs,Above The City,Smoke Or Fire,89.3,0.739,0.461,2005ø
Cars,This Sinking Ship,Smoke Or Fire,120.2,0.739,0.461,2007ø
Breadwinner,This Sinking Ship,Smoke Or Fire,181.5,0.739,0.461,2007ø
