Virgin Man,The 40 Year-Old Virgin - Original Motion Picture Soundtrack,Smokey Robinson,311.7,0.72,0.477,1974ø
Time Flies,Time Flies When You're Having Fun,Smokey Robinson,297.8,0.72,0.477,2009ø
There Will Come A Day (I'm Gonna Happen To You),The Ultimate Collection:  Smokey Robinson,Smokey Robinson,181.3,0.72,0.477,2000ø
The Agony And The Ecstasy,The Ultimate Collection:  Smokey Robinson,Smokey Robinson,287.9,0.72,0.477,1975ø
That Place,Time Flies When You're Having Fun,Smokey Robinson,291.1,0.72,0.477,2009ø
Satisfy You,Time Flies When You're Having Fun,Smokey Robinson,283.1,0.72,0.477,2009ø
Quiet Storm,Quiet Storm,Smokey Robinson,256.6,0.72,0.477,1975ø
One Heartbeat,The Ultimate Collection:  Smokey Robinson,Smokey Robinson,248.6,0.72,0.477,1987ø
Love Bath,Time Flies When You're Having Fun,Smokey Robinson,330.4,0.72,0.477,2009ø
Let Me Be The Clock,Definitive Collection / Timeless Love - 50th Anniversary Edition,Smokey Robinson,313.7,0.72,0.477,2000ø
Just To See Her,20th Century Masters: The Millennium Collection: Best of  Motown '80s_ Vol. 2,Smokey Robinson,240.1,0.72,0.477,1987ø
Just My Soul Responding,Power To The Motown People: Civil Rights Anthems And Political Soul 1968-1975,Smokey Robinson,307.6,0.72,0.477,1973ø
I've Made Love To You A Thousand Times,Definitive Collection / Timeless Love - 50th Anniversary Edition,Smokey Robinson,260.0,0.72,0.477,2000ø
I Want You Back,Time Flies When You're Having Fun,Smokey Robinson,284.3,0.72,0.477,2009ø
Cruisin',Definitive Collection / Timeless Love - 50th Anniversary Edition,Smokey Robinson,353.6,0.72,0.477,1979ø
Being With You,Total 80s,Smokey Robinson,246.6,0.72,0.477,1981ø
Baby That's Backatcha,Definitive Collection / Timeless Love - 50th Anniversary Edition,Smokey Robinson,218.9,0.72,0.477,1975ø
Baby Come Close,Definitive Collection / Timeless Love - 50th Anniversary Edition,Smokey Robinson,207.9,0.72,0.477,1973ø
Aqui Con Tigo (Being With You),Motown Around The World: The Classic Singles,Smokey Robinson,235.9,0.72,0.477,1987ø
