Promises Kept,Into Another Light,Sonny Sharrock,582.6,0.502,0.412,1991ø
Princess Sonata:They Enter the Dream,Guitar,Sonny Sharrock,212.1,0.502,0.412,1986ø
Princess Sonata:Princess and the Magician,Guitar,Sonny Sharrock,245.9,0.502,0.412,1986ø
Princess Sonata:Like Voices of Sleeping Birds,Guitar,Sonny Sharrock,188.9,0.502,0.412,1986ø
Princess Sonata:Flowers Laugh,Guitar,Sonny Sharrock,132.3,0.502,0.412,1986ø
Kula-Mae,Guitar,Sonny Sharrock,307.9,0.502,0.412,1986ø
Devils Doll Baby,Guitar,Sonny Sharrock,247.7,0.502,0.412,1986ø
Broken Toys,Guitar,Sonny Sharrock,398.2,0.502,0.412,1986ø
Black Bottom,Guitar,Sonny Sharrock,235.8,0.502,0.412,1986ø
As We Used To Sing,Into Another Light,Sonny Sharrock,453.1,0.502,0.412,1991ø
