Only Time Has Changed,Moving South,Southside Movement,290.2,0.422,0.346,1975ø
Love Is For Fools,Moving South,Southside Movement,274.3,0.422,0.346,1975ø
Just Moving,Moving South,Southside Movement,224.2,0.422,0.346,1975ø
I've Been Watching You,Moving South,Southside Movement,322.4,0.422,0.346,1975ø
Fun Talk,Moving South,Southside Movement,165.6,0.422,0.346,1975ø
Do It To Me,Moving South,Southside Movement,200.9,0.422,0.346,1975ø
Country Girl,Moving South,Southside Movement,162.8,0.422,0.346,1975ø
Ain't It A Shame,Moving South,Southside Movement,185.4,0.422,0.346,1975ø
Ain't Gonna Watch You No Mo',Moving South,Southside Movement,371.7,0.422,0.346,1974ø
Acknowledge The Mind,Moving South,Southside Movement,174.5,0.422,0.346,1975ø
