You_ Me & God,Duffy,Stephen Duffy,254.2,0.613,0.369,1995ø
Why Shouldn't I ?,Because We Love You,Stephen Duffy,300.0,0.613,0.369,1986ø
When You Go To Bed,They Called Him Tin Tin,Stephen Duffy,264.8,0.613,0.369,1986ø
Wednesday Jones,The Ups And Downs,Stephen Duffy,129.6,0.613,0.369,1985ø
Unkiss That Kiss,Because We Love You,Stephen Duffy,222.2,0.613,0.369,1986ø
The World At Large Alone,The Ups and Downs: A Very Beautiful Collection,Stephen Duffy,223.7,0.613,0.369,1985ø
The Waitress' Story,Duffy,Stephen Duffy,258.0,0.613,0.369,1995ø
The Girl Of The Year,Duffy,Stephen Duffy,295.5,0.613,0.369,1995ø
Sunday Supplement,Because We Love You,Stephen Duffy,269.4,0.613,0.369,1986ø
Sugar High (Slow Version),Duffy,Stephen Duffy,238.6,0.613,0.369,1995ø
Sugar High,Duffy,Stephen Duffy,228.2,0.613,0.369,1995ø
Starfit,Duffy,Stephen Duffy,154.0,0.613,0.369,1995ø
Something Special,Because We Love You,Stephen Duffy,293.7,0.613,0.369,1986ø
Smitten,Duffy,Stephen Duffy,291.6,0.613,0.369,1995ø
She Makes Me Quiver,The Ups and Downs: A Very Beautiful Collection,Stephen Duffy,252.5,0.613,0.369,1985ø
Rachel,Duffy,Stephen Duffy,259.7,0.613,0.369,1995ø
Needle Mythology,Duffy,Stephen Duffy,222.3,0.613,0.369,1995ø
Mr. 20th Century Man,Duffy,Stephen Duffy,209.0,0.613,0.369,1995ø
Moments Of Being,They Called Him Tin Tin,Stephen Duffy,86.3,0.613,0.369,1998ø
Love's Duet,Because We Love You,Stephen Duffy,299.9,0.613,0.369,1986ø
Love Station,Because We Love You,Stephen Duffy,263.6,0.613,0.369,1986ø
Love Is Driving Me Insane,They Called Him Tin Tin,Stephen Duffy,214.7,0.613,0.369,1998ø
London Girls,Duffy,Stephen Duffy,196.0,0.613,0.369,1995ø
Kiss Me (1985),They Called Him Tin Tin,Stephen Duffy,233.9,0.613,0.369,1998ø
Kiss Me,They Called Him Tin Tin,Stephen Duffy,206.6,0.613,0.369,1985ø
Julie Christie,Because We Love You,Stephen Duffy,318.5,0.613,0.369,1998ø
Jane,Duffy,Stephen Duffy,234.7,0.613,0.369,1995ø
Icing On The Cake (Remix),Original Hits - 80s 12'',Stephen Duffy,428.9,0.613,0.369,2007ø
Icing On The Cake,The Ups and Downs: A Very Beautiful Collection,Stephen Duffy,315.1,0.613,0.369,1985ø
I Love You (The New Diversion),Because We Love You,Stephen Duffy,410.1,0.613,0.369,1986ø
I Love You,Because We Love You,Stephen Duffy,239.7,0.613,0.369,1986ø
Holes In My Shoes (Carry On Version),Because We Love You,Stephen Duffy,219.5,0.613,0.369,1986ø
Believe In Me,The Ups and Downs: A Very Beautiful Collection,Stephen Duffy,267.8,0.613,0.369,1985ø
A Vision Of Bliss,Duffy,Stephen Duffy,278.6,0.613,0.369,1995ø
A Child Is Waiting,Duffy,Stephen Duffy,276.5,0.613,0.369,1995ø
Another Time,Memory & Desire - 30 Years In The Wilderness,Stephen Duffy,379.0,0.533,0.346,2007ø
A Dream Of A Girl,Memory & Desire - 30 Years In The Wilderness,Stephen Duffy,211.0,0.533,0.346,2007ø
