World Before Columbus,Tried & True - The Best Of,Suzanne Vega,206.2,0.755,0.571,1995ø
When Heroes Go Down,Tried & True - The Best Of,Suzanne Vega,114.1,0.755,0.571,1992ø
Undertow,Suzanne Vega,Suzanne Vega,207.1,0.755,0.571,1985ø
Unbound,Beauty & Crime,Suzanne Vega,215.0,0.755,0.571,2007ø
Tom's Diner,Solitude Standing,Suzanne Vega,159.9,0.755,0.571,1987ø
Those Whole Girls (Run In Grace),Days Of Open Hand,Suzanne Vega,188.7,0.755,0.571,1990ø
Thin Man,Nine Objects Of Desire,Suzanne Vega,219.5,0.755,0.571,1995ø
The Queen And The Soldier,Suzanne Vega,Suzanne Vega,290.7,0.755,0.571,1985ø
Straight Lines,Suzanne Vega,Suzanne Vega,229.3,0.755,0.571,1985ø
Story Of Isaac,Tower Of Song - The Songs Of Leonard Cohen,Suzanne Vega,246.8,0.755,0.571,1995ø
Stockings,Nine Objects Of Desire,Suzanne Vega,210.7,0.755,0.571,1995ø
St. Clare,Songs In Red And Gray,Suzanne Vega,152.3,0.755,0.571,2001ø
Songs In Red and Gray,Songs In Red And Gray,Suzanne Vega,260.4,0.755,0.571,2001ø
Some Journey,Suzanne Vega,Suzanne Vega,220.3,0.755,0.571,1985ø
Solitude Standing,RetroSpective: The Best Of Suzanne Vega,Suzanne Vega,281.7,0.755,0.571,1987ø
Soap And Water,Songs In Red And Gray,Suzanne Vega,185.7,0.755,0.571,2001ø
Penitent,RetroSpective: The Best Of Suzanne Vega,Suzanne Vega,259.3,0.755,0.571,2001ø
Obvious Question (Bonus Track),Beauty & Crime,Suzanne Vega,109.9,0.755,0.571,2007ø
Neighborhood Girls,Suzanne Vega,Suzanne Vega,202.2,0.755,0.571,1985ø
My Favorite Plum,Nine Objects Of Desire,Suzanne Vega,167.7,0.755,0.571,1995ø
Men In A War,Days Of Open Hand,Suzanne Vega,287.2,0.755,0.571,1990ø
Marlene On The Wall,Lifestyle2 - Acoustic Vol 1,Suzanne Vega,219.6,0.755,0.571,1985ø
Machine Ballerina,Songs In Red And Gray,Suzanne Vega,179.6,0.755,0.571,2001ø
Luka,Tried & True - The Best Of,Suzanne Vega,231.7,0.755,0.571,1987ø
Last Years Troubles,Songs In Red And Gray,Suzanne Vega,217.3,0.755,0.571,2001ø
It Makes Me Wonder,Songs In Red And Gray,Suzanne Vega,242.4,0.755,0.571,2001ø
In Liverpool,RetroSpective: The Best Of Suzanne Vega,Suzanne Vega,286.4,0.755,0.571,1992ø
If I Were A Weapon,Songs In Red And Gray,Suzanne Vega,168.0,0.755,0.571,2001ø
Honeymoon Suite,Nine Objects Of Desire,Suzanne Vega,176.1,0.755,0.571,1995ø
Harbor Song,Songs In Red And Gray,Suzanne Vega,261.0,0.755,0.571,2001ø
Freeze Tag,Suzanne Vega,Suzanne Vega,156.4,0.755,0.571,1985ø
Fifty-Fifty Chance (Fifty Fifty),Days Of Open Hand,Suzanne Vega,156.5,0.755,0.571,1990ø
Cracking,Suzanne Vega,Suzanne Vega,171.8,0.755,0.571,1985ø
Casual Match,Nine Objects Of Desire,Suzanne Vega,190.0,0.755,0.571,1995ø
Book Of Dreams,Tried & True - The Best Of,Suzanne Vega,202.1,0.755,0.571,1990ø
Big Space (Espacio Grande),Days Of Open Hand,Suzanne Vega,227.7,0.755,0.571,1990ø
Angel's Doorway,Beauty & Crime,Suzanne Vega,175.2,0.755,0.571,2007ø
99.9 F,Tried & True - The Best Of,Suzanne Vega,193.6,0.755,0.571,1998ø
