Tout Feu Tout Flamme,Sylvie,Sylvie Vartan,267.7,0.555,0.438,2008ø
Si Tu Veux Plus D'Moi,Sensible,Sylvie Vartan,234.3,0.555,0.438,1998ø
Rupture,Sylvie,Sylvie Vartan,528.1,0.555,0.438,2008ø
La Plus Belle Pour Aller Danser,Sylvie Vartan,Sylvie Vartan,156.7,0.555,0.438,1964ø
La Chanteuse A 20 Ans (Reprise),Sylvie Live,Sylvie Vartan,148.4,0.555,0.438,2010ø
L'Homme En Noir,Sylvie Vartan,Sylvie Vartan,162.8,0.555,0.438,1989ø
L'Amour C'est Comme Les Bateaux,Sylvie Live,Sylvie Vartan,220.2,0.555,0.438,2004ø
Je N'Aime Encore Que Toi,Tour De Siecle,Sylvie Vartan,225.4,0.555,0.438,1996ø
Je Chante Le Blues,Sylvie Live,Sylvie Vartan,265.8,0.555,0.438,2009ø
J'Ai Fait Un Voeu,Sylvie Vartan,Sylvie Vartan,178.3,0.555,0.438,1994ø
C'Est Fatal,Sylvie Live,Sylvie Vartan,208.1,0.555,0.438,1989ø
Aimer,Sylvie Live,Sylvie Vartan,178.2,0.555,0.438,1992ø
