When (Album Version),Welcome,Taproot,244.1,0.74,0.553,2002ø
Violent Seas (Album Version),Blue-Sky Research,Taproot,225.0,0.74,0.553,2005ø
Time (Album Version),Welcome,Taproot,198.7,0.74,0.553,2002ø
Sumtimes (Explicit Album Version),Welcome,Taproot,268.9,0.74,0.553,2002ø
So Eager (Album Version),Blue-Sky Research,Taproot,239.4,0.74,0.553,2005ø
Smile (Explicit LP Version),Gift,Taproot,213.3,0.74,0.553,2000ø
She (Album Version),Blue-Sky Research,Taproot,204.8,0.74,0.553,2005ø
Promise (Album Version),Blue-Sky Research,Taproot,213.8,0.74,0.553,2005ø
Now (Explicit LP Version),Gift,Taproot,203.5,0.74,0.553,2000ø
Now (Amended Version),Gift,Taproot,203.3,0.74,0.553,2000ø
Nightmare (Album Version),Blue-Sky Research,Taproot,240.9,0.74,0.553,2005ø
Myself (Explicit Album Version),Welcome,Taproot,227.6,0.74,0.553,2002ø
Mirror's Reflection (Amended Version),Gift,Taproot,191.6,0.74,0.553,2000ø
Mentobe (Explicit LP Version),Gift,Taproot,218.0,0.74,0.553,2000ø
Lost In The Woods (Album Version),Blue-Sky Research,Taproot,254.2,0.74,0.553,2005ø
Like (Explicit Album Version),Welcome,Taproot,278.0,0.74,0.553,2002ø
Impact (Explicit LP Version),Gift,Taproot,169.9,0.74,0.553,2000ø
I Will Not Fall For You (Album Version),Blue-Sky Research,Taproot,181.7,0.74,0.553,2005ø
I (Explicit LP Version),Gift,Taproot,254.7,0.74,0.553,2000ø
Forever Endeavor (Album Version),Blue-Sky Research,Taproot,242.1,0.74,0.553,2005ø
Fault (Album Version),Welcome,Taproot,198.6,0.74,0.553,2002ø
Facepeeler (Album Version),Blue-Sky Research,Taproot,290.2,0.74,0.553,2005ø
Emotional Times (Amended Version),Gift,Taproot,184.1,0.74,0.553,2000ø
Dragged Down (Explicit LP Version),Gift,Taproot,211.8,0.74,0.553,2000ø
Comeback (Explicit LP Version),Gift,Taproot,264.0,0.74,0.553,2000ø
Calling (Album Version),Blue-Sky Research,Taproot,232.5,0.374,0.553,2005ø
Breathe (Explicit Album Version),Welcome,Taproot,257.4,0.74,0.553,2002ø
Blue-Sky Research / What's Left (Album Version),Blue-Sky Research,Taproot,281.6,0.74,0.553,2005ø
Birthday (Album Version),Blue-Sky Research,Taproot,270.0,0.74,0.553,2005ø
Believed (Amended Version),Gift,Taproot,242.2,0.74,0.553,2000ø
Art (Album Version),Welcome,Taproot,281.4,0.74,0.553,2002ø
April Suits (Album Version),Blue-Sky Research,Taproot,206.0,0.74,0.553,2005ø
Again & Again (Explicit LP Version),Gift,Taproot,238.2,0.74,0.553,2000ø
1 Nite Stand (Amended Version),Gift,Taproot,221.1,0.74,0.553,2000ø
