Simplify This Landscape With Darkness,Black Triage,Teargas & Plateglass,386.0,0.551,0.343,2007ø
Seduction of Canned Laughter,Black Triage,Teargas & Plateglass,294.6,0.551,0.343,2007ø
Rain Falling on Ann's Grave,Black Triage,Teargas & Plateglass,176.0,0.551,0.343,2007ø
Pray for Night to Fall,Black Triage,Teargas & Plateglass,238.7,0.551,0.343,2007ø
Plague Burial,Black Triage,Teargas & Plateglass,358.6,0.551,0.343,2005ø
One Day Across the Valley,Black Triage,Teargas & Plateglass,330.1,0.551,0.343,2007ø
L'Hopital de Martyrs,Black Triage,Teargas & Plateglass,289.0,0.551,0.343,2007ø
Kuomintang,Black Triage,Teargas & Plateglass,209.7,0.551,0.343,2005ø
Fury of an Aroused Spectator,Black Triage,Teargas & Plateglass,259.5,0.551,0.343,2007ø
Book of Black Valentines,Black Triage,Teargas & Plateglass,288.0,0.551,0.343,2007ø
Behold the Sea of Ills So Vast,Black Triage,Teargas & Plateglass,201.0,0.551,0.343,2007ø
