Wake,Hospice,The Antlers,524.0,0.726,0.467,2009ø
Two,Sisters,The Antlers,355.7,0.726,0.467,2009ø
Thirteen,Hospice,The Antlers,191.6,0.726,0.467,2009ø
The Universe is Going To Catch You,In the Attic of the Universe,The Antlers,234.8,0.726,0.467,2007ø
Sylvia,Sylvia,The Antlers,327.1,0.726,0.467,2009ø
Stairs To the Attic,In the Attic of the Universe,The Antlers,278.0,0.726,0.467,2007ø
Shiva,Hospice,The Antlers,225.8,0.726,0.467,2009ø
Shh!,In the Attic of the Universe,The Antlers,196.0,0.726,0.467,2007ø
Prologue,Hospice,The Antlers,154.4,0.726,0.467,2009ø
On the Roof,In the Attic of the Universe,The Antlers,226.0,0.726,0.467,2007ø
Look!,In the Attic of the Universe,The Antlers,108.0,0.726,0.467,2007ø
Kettering,Hospice,The Antlers,311.2,0.726,0.467,2009ø
In the Snow,In the Attic of the Universe,The Antlers,151.0,0.726,0.467,2007ø
In the Attic,In the Attic of the Universe,The Antlers,302.0,0.726,0.467,2007ø
Epilogue,Hospice,The Antlers,328.9,0.726,0.467,2009ø
Bear,Bear,The Antlers,243.3,0.726,0.467,2009ø
Atrophy,Hospice,The Antlers,460.3,0.726,0.467,2009ø
