The Union,Feel The Pride,The Booked,154.3,0.48,0.268,2000ø
The Boys,Feel The Pride,The Booked,199.7,0.48,0.268,2000ø
Strike Against Corporate America,Feel The Pride,The Booked,111.9,0.48,0.268,2000ø
Riot At 811,Feel The Pride,The Booked,77.2,0.48,0.268,2000ø
Refinery,Feel The Pride,The Booked,146.2,0.48,0.268,2000ø
Reds And Yellows,Feel The Pride,The Booked,170.4,0.48,0.268,2000ø
Northwest United,Feel The Pride,The Booked,123.1,0.48,0.268,2000ø
Knock Out Yer Teeth,Feel The Pride,The Booked,220.3,0.48,0.268,2000ø
Hero,Feel The Pride,The Booked,212.2,0.48,0.268,2000ø
Feel The Pride,Feel The Pride,The Booked,168.4,0.48,0.268,2000ø
Boys Night Out,Feel The Pride,The Booked,112.0,0.48,0.268,2000ø
