You're Made That Way (LP Version),Livin' On The Fault Line,The Doobie Brothers,216.9,0.773,0.532,1977ø
You Never Change,Minute By Minute,The Doobie Brothers,208.6,0.773,0.532,1978ø
You Belong To Me (LP Version),Livin' On The Fault Line,The Doobie Brothers,186.5,0.773,0.532,1977ø
Wrong Number,Cycles,The Doobie Brothers,247.1,0.773,0.532,1989ø
Wild Ride,Rockin' Down The Highway: The Wildlife Concert,The Doobie Brothers,235.0,0.773,0.532,1996ø
What A Fool Believes (Album Version),Minute by Minute,The Doobie Brothers,221.7,0.773,0.532,1978ø
What A Fool Believes,The Very Best Of,The Doobie Brothers,221.2,0.773,0.532,1978ø
Under The Spell,Brotherhood,The Doobie Brothers,267.6,0.773,0.532,1991ø
Toulouse Street,Listen To The Music / Toulouse Street [Digital 45],The Doobie Brothers,199.4,0.407,0.532,1972ø
Too High A Price,Cycles,The Doobie Brothers,251.6,0.773,0.532,1989ø
Tonight I'm Coming Through (The Border),Cycles,The Doobie Brothers,269.4,0.773,0.532,1989ø
Time Is Here And Gone,Cycles,The Doobie Brothers,227.9,0.773,0.532,1989ø
There's A Light (LP Version),Livin' On The Fault Line,The Doobie Brothers,254.5,0.773,0.532,1977ø
The Doctor,Rockin' Down The Highway: The Wildlife Concert,The Doobie Brothers,230.3,0.773,0.532,1989ø
The Captain And Me (LP Version),The Captain And Me,The Doobie Brothers,288.0,0.773,0.532,1973ø
Takin' It To The Streets,Rockin' Down The Highway: The Wildlife Concert,The Doobie Brothers,282.8,0.773,0.532,1976ø
Take Me To The Highway,Cycles,The Doobie Brothers,199.2,0.773,0.532,1989ø
Take Me In Your Arms (Rock Me A Little While),Rockin' Down The Highway: The Wildlife Concert,The Doobie Brothers,228.7,0.773,0.532,1975ø
Sweet Maxine (Album Version),Stampede,The Doobie Brothers,267.1,0.773,0.532,1975ø
Steamer Lane Breakdown (Instrumental) (LP Version),Minute by Minute,The Doobie Brothers,207.5,0.773,0.532,1978ø
Spirit (LP Version),What Were Once Vices Are Now Habits,The Doobie Brothers,196.2,0.773,0.532,1974ø
Song To See You Through (LP Version),What Were Once Vices Are Now Habits,The Doobie Brothers,247.5,0.773,0.532,1974ø
Something You Said,Brotherhood,The Doobie Brothers,293.1,0.773,0.532,1991ø
Slow Burn,Rockin' Down The Highway: The Wildlife Concert,The Doobie Brothers,284.1,0.773,0.532,1996ø
Slack Key Soquel Rag (Album Version),Stampede,The Doobie Brothers,114.2,0.773,0.532,1975ø
Slack Key Soquel Rag,Rockin' Down The Highway: The Wildlife Concert,The Doobie Brothers,160.2,0.773,0.532,1983ø
Rollin' On,Brotherhood,The Doobie Brothers,256.0,0.773,0.532,1991ø
Rockin' Down The Highway,Rockin' Down The Highway: The Wildlife Concert,The Doobie Brothers,211.3,0.773,0.532,1972ø
Road Angel (LP Version),What Were Once Vices Are Now Habits,The Doobie Brothers,288.1,0.773,0.532,1974ø
Rainy Day Crossroad Blues (Album Version),Stampede,The Doobie Brothers,226.2,0.773,0.532,1975ø
