Version Nation,No Questions Asked,The Flesh Eaters,143.7,0.38,0.334,1979ø
Twisted Road,No Questions Asked,The Flesh Eaters,135.1,0.38,0.334,1978ø
The Child Comes First,No Questions Asked,The Flesh Eaters,105.0,0.38,0.334,1980ø
Pony Dress,No Questions Asked,The Flesh Eaters,170.2,0.38,0.334,1979ø
Police Gun Jitters,No Questions Asked,The Flesh Eaters,127.8,0.38,0.334,1980ø
Jesus_ Don't Come Through the Cotton,No Questions Asked,The Flesh Eaters,86.6,0.38,0.334,1980ø
Impossible Crime,A Hard Road To Follow,The Flesh Eaters,114.7,0.38,0.334,1980ø
Home of the Brave,No Questions Asked,The Flesh Eaters,97.3,0.38,0.334,1980ø
Eyes Without A Face,A Hard Road To Follow,The Flesh Eaters,192.7,0.38,0.334,1985ø
Dynamite Hemorrhage,No Questions Asked,The Flesh Eaters,123.0,0.38,0.334,1980ø
Dominoes,No Questions Asked,The Flesh Eaters,151.6,0.38,0.334,1980ø
Disintegration Nation,No Questions Asked,The Flesh Eaters,156.1,0.38,0.334,1978ø
Cry Baby Killer,No Questions Asked,The Flesh Eaters,290.7,0.38,0.334,1980ø
Crazy Boy,No Questions Asked,The Flesh Eaters,158.9,0.38,0.334,1980ø
