To Know You,Fourth Dimensional Rocketships Going Up,The Gift of Gab,208.2,0.608,0.419,2004ø
The Writz,4th Dimension Rocketships Going Up,The Gift of Gab,227.3,0.608,0.419,2004ø
The Ride of Your Life (Album version),4th Dimensional Rocketships Going Up,The Gift of Gab,179.5,0.614,0.419,2004ø
Stardust (Album version),4th Dimensional Rocketships Going Up,The Gift of Gab,197.4,0.608,0.419,2004ø
Ride On,4th Dimensional Rocketships Going Up,The Gift of Gab,148.3,0.614,0.419,2004ø
Real MCs,4th Dimension Rocketships Going Up,The Gift of Gab,238.5,0.614,0.419,2004ø
Moonshine,Fourth Dimensional Rocketships Going Up,The Gift of Gab,239.8,0.608,0.419,2004ø
In a Minute Doe,Fourth Dimensional Rocketships Going Up,The Gift of Gab,177.5,0.614,0.419,2004ø
Flashback,4th Dimensional Rocketships Going Up,The Gift of Gab,183.5,0.614,0.419,2004ø
Evolution,Fourth Dimensional Rocketships Going Up,The Gift of Gab,173.4,0.608,0.419,2004ø
