Unbelievable Truth,The Grassy Knoll,The Grassy Knoll,230.0,0.429,0.316,1995ø
The Common Good,Positive,The Grassy Knoll,203.0,0.429,0.316,2002ø
The Beauty Within,The Grassy Knoll,The Grassy Knoll,203.8,0.429,0.316,1995ø
March Eighteenth,The Grassy Knoll,The Grassy Knoll,305.2,0.429,0.316,1995ø
Low,The Grassy Knoll,The Grassy Knoll,245.9,0.429,0.316,1995ø
Less Than One,The Grassy Knoll,The Grassy Knoll,225.8,0.429,0.316,1995ø
Illusions of Peace,The Grassy Knoll,The Grassy Knoll,573.9,0.429,0.316,1995ø
Floating Above the Earth,The Grassy Knoll,The Grassy Knoll,207.2,0.429,0.316,1995ø
Evolution #9,The Grassy Knoll,The Grassy Knoll,239.4,0.429,0.316,1995ø
End of It All,Positive,The Grassy Knoll,103.0,0.429,0.316,2002ø
Culture of Complaint,The Grassy Knoll,The Grassy Knoll,275.4,0.429,0.316,1995ø
Conversations With Julian Dexter,The Grassy Knoll,The Grassy Knoll,239.5,0.429,0.316,1994ø
Altering The Gates Of The Mind,The Grassy Knoll,The Grassy Knoll,343.2,0.429,0.316,1995ø
