Where Did Our Love Go  [Live],Best Of The J. Geils Band,The J. Geils Band,240.2,0.668,0.385,2006ø
What's Your Hurry?,J. Geils Band,The J. Geils Band,164.6,0.668,0.385,1970ø
Think It Over (LP Version),Hotline,The J. Geils Band,280.6,0.668,0.385,1975ø
The Usual Place,The Morning After,The J. Geils Band,163.7,0.668,0.385,1971ø
The Lady Makes Demands (LP Version),Ladies Invited,The J. Geils Band,261.7,0.668,0.385,1973ø
That's Why I'm Thinking Of You (LP Version),Ladies Invited,The J. Geils Band,193.3,0.668,0.385,1973ø
Take A Chance [On Romance] (LP Version),Ladies Invited,The J. Geils Band,236.0,0.668,0.385,1973ø
Surrender (LP Version),Monkey Island,The J. Geils Band,231.2,0.668,0.385,1977ø
Struttin' With My Baby (LP Version),Bloodshot,The J. Geils Band,198.2,0.668,0.385,1973ø
Stoop Down #39 (LP Version),Nightmares...And Other Tales From The Vinyl Jungle,The J. Geils Band,413.0,0.668,0.385,1974ø
Start All Over Again (LP Version),Bloodshot,The J. Geils Band,253.4,0.668,0.385,1973ø
Southside Shuffle (LP Version),Best Of The J. Geils Band,The J. Geils Band,223.9,0.668,0.385,2006ø
Somebody (LP Version),Monkey Island,The J. Geils Band,313.7,0.668,0.385,1977ø
So Sharp,The Morning After,The J. Geils Band,188.8,0.668,0.385,1971ø
So Good (LP Version),Monkey Island,The J. Geils Band,198.2,0.668,0.385,1977ø
Serves You Right To Suffer,J. Geils Band,The J. Geils Band,299.8,0.668,0.385,1970ø
Orange Driver (LP Version),Hotline,The J. Geils Band,269.4,0.668,0.385,1975ø
On Borrowed Time,J. Geils Band,The J. Geils Band,184.4,0.668,0.385,1970ø
Nightmares (LP Version),Nightmares...And Other Tales From The Vinyl Jungle,The J. Geils Band,73.2,0.668,0.385,1974ø
My Baby Don't Love Me (LP Version),Ladies Invited,The J. Geils Band,222.8,0.668,0.385,1973ø
Must Of Got Lost (LP Version),Best Of The J. Geils Band,The J. Geils Band,178.2,0.668,0.385,2006ø
Mean Love (LP Version),Hotline,The J. Geils Band,304.6,0.668,0.385,1975ø
Looking For A Love  [Live] [Early Fade],Best Of The J. Geils Band,The J. Geils Band,302.2,0.668,0.385,2006ø
It Ain't What You Do [It's How You Do It !],The Morning After,The J. Geils Band,309.0,0.668,0.385,1971ø
I'm Not Rough (LP Version),Monkey Island,The J. Geils Band,183.3,0.668,0.385,1977ø
I'll Be Coming Home (LP Version),Nightmares...And Other Tales From The Vinyl Jungle,The J. Geils Band,280.7,0.668,0.385,1974ø
I Don't Need You No More,The Morning After,The J. Geils Band,155.6,0.668,0.385,1971ø
I Can't Go On  (LP Version),Ladies Invited,The J. Geils Band,304.4,0.668,0.385,1973ø
Homework,J. Geils Band,The J. Geils Band,163.9,0.668,0.385,1970ø
Hard Drivin' Man,J. Geils Band,The J. Geils Band,138.6,0.668,0.385,1970ø
Givin' It All Up (LP Version),Nightmares...And Other Tales From The Vinyl Jungle,The J. Geils Band,224.1,0.668,0.385,1974ø
Funky Judge (LP Version),Nightmares...And Other Tales From The Vinyl Jungle,The J. Geils Band,199.7,0.668,0.385,1974ø
First I Look At The Purse,J. Geils Band,The J. Geils Band,233.0,0.668,0.385,1970ø
Fancy Footwork (LP Version),Hotline,The J. Geils Band,326.2,0.668,0.385,1975ø
Easy Way Out (LP Version),Hotline,The J. Geils Band,244.0,0.668,0.385,1975ø
Don't Try To Hide It (LP Version),Bloodshot,The J. Geils Band,154.6,0.668,0.385,1973ø
Diddyboppin' (LP Version),Ladies Invited,The J. Geils Band,211.6,0.668,0.385,1973ø
Cry One More Time,The Morning After,The J. Geils Band,201.1,0.668,0.385,1971ø
Crusin' For A Love (LP Version),The J. Geils Band,The J. Geils Band,151.3,0.668,0.385,1970ø
Chimes (LP Version),Ladies Invited,The J. Geils Band,304.2,0.668,0.385,1973ø
Believe In Me (LP Version),Hotline,The J. Geils Band,282.7,0.668,0.385,1975ø
Be Careful [What You Do] (LP Version),Hotline,The J. Geils Band,242.7,0.668,0.385,1975ø
Back To Get Ya (LP Version),Bloodshot,The J. Geils Band,319.3,0.668,0.385,1973ø
