Whole Lotta Love,Whole Lotta Live 1998,The James Taylor Quartet,209.6,0.583,0.434,1995ø
The Obsession,The Oscillator,The James Taylor Quartet,283.4,0.583,0.434,2003ø
The Exorcism,The Oscillator,The James Taylor Quartet,467.0,0.583,0.434,2003ø
Starsky & Hutch,Whole Lotta Live 1998,The James Taylor Quartet,397.6,0.583,0.434,1998ø
Man From The Moon,The Oscillator,The James Taylor Quartet,291.9,0.583,0.434,2003ø
Jim's Semolina,The Oscillator,The James Taylor Quartet,227.0,0.583,0.434,2003ø
Jesus Christ Superstar,The Oscillator,The James Taylor Quartet,331.7,0.583,0.434,2003ø
Haitian Breakdown,Whole Lotta Live 1998,The James Taylor Quartet,90.4,0.583,0.434,1995ø
Green Onions,Whole Lotta Live 1998,The James Taylor Quartet,200.9,0.583,0.434,1998ø
Evil Thoughts,The Oscillator,The James Taylor Quartet,195.0,0.583,0.434,2003ø
Europa,Whole Lotta Live 1998,The James Taylor Quartet,343.7,0.583,0.434,1998ø
Elle,The Oscillator,The James Taylor Quartet,348.5,0.583,0.434,2003ø
Creation,Whole Lotta Live 1998,The James Taylor Quartet,315.1,0.583,0.434,1996ø
Blow Up,Whole Lotta Live 1998,The James Taylor Quartet,309.9,0.583,0.434,1987ø
Big Foot,The Oscillator,The James Taylor Quartet,220.0,0.583,0.434,2003ø
All Wrapped Up,Whole Lotta Live 1998,The James Taylor Quartet,288.9,0.583,0.434,1998ø
2001 Theme (also Sprach Zarathrustra),Whole Lotta Live 1998,The James Taylor Quartet,406.4,0.583,0.434,1998ø
