Will you love me tomorrow?,Dressed to kiss,The Killer Barbies,113.6,0.483,0.4,1995ø
Then he kiss me,Dressed to kiss,The Killer Barbies,128.8,0.483,0.4,1995ø
Spiderman,A Cantar Con Xabarin Vol. III E IV,The Killer Barbies,134.3,0.483,0.4,1996ø
Silly thing,Dressed to kiss,The Killer Barbies,156.5,0.483,0.4,1995ø
Love Killer,Dressed to kiss,The Killer Barbies,150.9,0.483,0.4,1995ø
Kiss mouth,Dressed to kiss,The Killer Barbies,119.0,0.483,0.4,1995ø
I wanna live in Tromaville,Dressed to kiss,The Killer Barbies,139.7,0.483,0.4,1995ø
I can hide,Dressed to kiss,The Killer Barbies,152.8,0.483,0.4,1995ø
Elvis live!,Dressed to kiss,The Killer Barbies,166.7,0.483,0.4,1995ø
Comics books,Dressed to kiss,The Killer Barbies,129.0,0.483,0.4,1995ø
Charlie Manson,Dressed to kiss,The Killer Barbies,129.7,0.483,0.4,1995ø
