You're Right,You Are a Deep Forest,The Last 3 Lines,222.9,0.535,0.313,2008ø
You Are a Deep Forest,You Are a Deep Forest,The Last 3 Lines,495.2,0.535,0.313,2008ø
Sometimes the Trigger,You Are a Deep Forest,The Last 3 Lines,221.9,0.535,0.313,2008ø
Myriana,You Are a Deep Forest,The Last 3 Lines,180.8,0.535,0.313,2008ø
I Don't Wanna Know,You Are a Deep Forest,The Last 3 Lines,220.5,0.535,0.313,2008ø
Growing Stones,You Are a Deep Forest,The Last 3 Lines,270.9,0.535,0.313,2008ø
Bright Lights,You Are a Deep Forest,The Last 3 Lines,217.1,0.535,0.313,2008ø
Bark,You Are a Deep Forest,The Last 3 Lines,191.8,0.535,0.313,2008ø
A Substitute,You Are a Deep Forest,The Last 3 Lines,227.2,0.535,0.313,2008ø
A Prison With Views,You Are a Deep Forest,The Last 3 Lines,249.5,0.535,0.313,2008ø
