Wondrous Place,The Age Of The Understatement,The Last Shadow Puppets,168.3,0.663,0.55,2008ø
Two Hearts In Two Weeks,The Age Of The Understatement,The Last Shadow Puppets,138.1,0.663,0.55,2008ø
Time Has Come Again,The Age Of The Understatement,The Last Shadow Puppets,142.2,0.663,0.55,2008ø
The Meeting Place,The Age Of The Understatement,The Last Shadow Puppets,237.9,0.663,0.55,2008ø
The Chamber,The Age Of The Understatement,The Last Shadow Puppets,159.1,0.663,0.55,2008ø
The Age Of The Understatement,Brit Awards 2009,The Last Shadow Puppets,186.6,0.663,0.55,2008ø
Standing Next To Me,Standing Next To Me,The Last Shadow Puppets,142.7,0.663,0.55,2008ø
Sequels,Standing Next To Me,The Last Shadow Puppets,222.5,0.663,0.55,2008ø
Separate And Ever Deadly,My Mistakes Were Made For You,The Last Shadow Puppets,177.8,0.663,0.55,2008ø
Paris Summer,My Mistakes Were Made For You,The Last Shadow Puppets,217.4,0.663,0.55,2008ø
Only The Truth,The Age Of The Understatement,The Last Shadow Puppets,166.1,0.663,0.55,2008ø
My Mistakes Were Made For You,My Mistakes Were Made For You,The Last Shadow Puppets,186.8,0.663,0.55,2008ø
My Little Red Book,My Mistakes Were Made For You,The Last Shadow Puppets,161.8,0.663,0.55,2008ø
In The Heat Of The Morning,The Age Of The Understatement,The Last Shadow Puppets,161.3,0.663,0.55,2008ø
In My Room,The Age Of The Understatement,The Last Shadow Puppets,151.4,0.663,0.55,2008ø
I Don't Like You Anymore,The Age Of The Understatement,The Last Shadow Puppets,187.1,0.663,0.55,2008ø
Hang The Cyst,Standing Next To Me,The Last Shadow Puppets,402.6,0.663,0.55,2008ø
Gas Dance,Standing Next To Me,The Last Shadow Puppets,219.9,0.663,0.55,2008ø
Calm Like You,The Age Of The Understatement,The Last Shadow Puppets,148.3,0.663,0.55,2008ø
Black Plant,The Age Of The Understatement,The Last Shadow Puppets,241.7,0.663,0.55,2008ø
