Written In Fiction,Laughter,The Mighty Lemon Drops,214.4,0.542,0.385,1989ø
Where Do We Go From Heaven,Rollercoaster - The Best Of 1986-1989,The Mighty Lemon Drops,340.5,0.542,0.385,1989ø
The Other Side Of You,Rollercoaster - The Best Of 1986-1989,The Mighty Lemon Drops,159.8,0.542,0.385,1987ø
The Heartbreak Thing,Laughter,The Mighty Lemon Drops,380.6,0.542,0.385,1989ø
Something Happens,Rollercoaster - The Best Of 1986-1989,The Mighty Lemon Drops,220.2,0.542,0.385,1986ø
Shine,Rollercoaster - The Best Of 1986-1989,The Mighty Lemon Drops,214.6,0.542,0.385,1988ø
Second Time Around,Laughter,The Mighty Lemon Drops,233.7,0.542,0.385,1989ø
Rollercoaster,Rollercoaster - The Best Of 1986-1989,The Mighty Lemon Drops,202.6,0.542,0.385,1987ø
One In A Million,Laughter,The Mighty Lemon Drops,272.1,0.542,0.385,1989ø
Now She's Gone,Rollercoaster - The Best Of 1986-1989,The Mighty Lemon Drops,194.1,0.542,0.385,2002ø
My Biggest Thrill,Rollercoaster - The Best Of 1986-1989,The Mighty Lemon Drops,176.5,0.542,0.385,1986ø
Like An Angel,Rollercoaster - The Best Of 1986-1989,The Mighty Lemon Drops,221.8,0.542,0.385,1986ø
Into The Heart Of Love,Rollercoaster - The Best Of 1986-1989,The Mighty Lemon Drops,176.8,0.542,0.385,1989ø
Inside Out,Rollercoaster - The Best Of 1986-1989,The Mighty Lemon Drops,202.8,0.542,0.385,1988ø
In Everything You Do,Rollercoaster - The Best Of 1986-1989,The Mighty Lemon Drops,309.0,0.542,0.385,1988ø
Happy Head,Rollercoaster - The Best Of 1986-1989,The Mighty Lemon Drops,146.0,0.542,0.385,1986ø
Count Me Out,Rollercoaster - The Best Of 1986-1989,The Mighty Lemon Drops,207.0,0.542,0.385,1987ø
Beautiful Shame,Rollercoaster - The Best Of 1986-1989,The Mighty Lemon Drops,210.3,0.542,0.385,1989ø
At Midnight,Laughter,The Mighty Lemon Drops,270.3,0.542,0.385,1989ø
