Your Love,Super Hits,The Outfield,221.8,0.683,0.443,1985ø
Voices Of Babylon,Super Hits,The Outfield,211.1,0.683,0.443,1989ø
Taking My Chances,Play Deep,The Outfield,217.5,0.683,0.443,1985ø
Since You've Been Gone,Super Hits,The Outfield,283.7,0.683,0.443,1986ø
Say It Isn't So,Play Deep,The Outfield,227.8,0.683,0.443,1985ø
Part Of Your Life,Super Hits,The Outfield,235.0,0.683,0.443,1989ø
No Surrender,Super Hits,The Outfield,285.4,0.683,0.443,1986ø
No Point,Super Hits,The Outfield,182.9,0.683,0.443,1989ø
Nervous Alibi,Play Deep,The Outfield,235.3,0.683,0.443,1985ø
Mystery Man,Play Deep,The Outfield,244.2,0.683,0.443,1985ø
I DON'T NEED HER,Super Hits,The Outfield,232.2,0.683,0.443,1985ø
Bangin' On My Heart,Super Hits,The Outfield,235.6,0.683,0.443,1986ø
All The Love,Play Deep,The Outfield,212.2,0.683,0.443,1985ø
61 Seconds,Play Deep,The Outfield,258.5,0.683,0.443,1985ø
