Womack And Womack,Up With The Larks,The Pearlfishers,270.2,0.51,0.382,2007ø
With You On My Mind,Up With The Larks,The Pearlfishers,182.6,0.51,0.382,2007ø
Up With The Larks,Up With The Larks,The Pearlfishers,265.3,0.51,0.382,2007ø
The Umbrellas Of Shibuya,Up With The Larks,The Pearlfishers,243.1,0.51,0.382,2007ø
The Bluebells,Up With The Larks,The Pearlfishers,226.7,0.51,0.382,2007ø
Send Me A Letter,Up With The Larks,The Pearlfishers,223.6,0.51,0.382,2007ø
Ring The Bells For A Day,Up With The Larks,The Pearlfishers,276.9,0.51,0.382,2007ø
London's In Love,Up With The Larks,The Pearlfishers,206.7,0.51,0.382,2007ø
I Just See The Rainbow,Up With The Larks,The Pearlfishers,222.0,0.51,0.382,2007ø
Fighting Fire With Flowers,Up With The Larks,The Pearlfishers,215.9,0.51,0.382,2007ø
Eco Schools,Up With The Larks,The Pearlfishers,300.1,0.51,0.382,2007ø
Blue Riders On The Range,Up With The Larks,The Pearlfishers,281.1,0.51,0.382,2007ø
