Ya Mama (Remix),Sold My Soul: The Remix & Rarity Collection,The Pharcyde,242.7,0.756,0.491,2005ø
Ya Mama (Matt Dike Remix),Sold My Soul: The Remix & Rarity Collection,The Pharcyde,255.3,0.756,0.491,2005ø
Ya Mama (Kenny Dope Remix),Sold My Soul: The Remix & Rarity Collection,The Pharcyde,231.3,0.756,0.491,2005ø
Ya Mama,Bizarre Ride II,The Pharcyde,261.0,0.756,0.491,1992ø
Y? (Be Like That) (Jay Dee Remix),Sold My Soul: The Remix & Rarity Collection,The Pharcyde,295.3,0.756,0.491,2009ø
The Uh-Huh,Humboldt Beginnings,The Pharcyde,175.6,0.756,0.491,2004ø
The E.N.D.,Labcabincalifornia,The Pharcyde,280.3,0.756,0.491,1995ø
The Climb/Paranoia,Humboldt Beginnings,The Pharcyde,247.1,0.756,0.491,2004ø
The Bomb,Humboldt Beginnings,The Pharcyde,215.9,0.756,0.491,2004ø
The Art Of Sharing,Humboldt Beginnings,The Pharcyde,167.8,0.756,0.491,2004ø
Storm,Humboldt Beginnings,The Pharcyde,217.9,0.756,0.491,2004ø
Splattitorium,Labcabincalifornia,The Pharcyde,178.5,0.778,0.491,1995ø
Soul Flower (Wrong Tree),Sold My Soul: The Remix & Rarity Collection,The Pharcyde,295.7,0.756,0.491,2005ø
Soul Flower (Remix),Bizarre Ride II,The Pharcyde,263.4,0.756,0.491,1992ø
Soul Flower (Brand New Heavies Version),Sold My Soul: The Remix & Rarity Collection,The Pharcyde,221.9,0.756,0.491,2005ø
Soul Flower (2 Tha 3 Mix),Sold My Soul: The Remix & Rarity Collection,The Pharcyde,256.4,0.756,0.491,2005ø
She Said (Remix) (Instrumental),Jay Deelicious 95-98: The Delicious Vinyl Years,The Pharcyde,271.0,0.778,0.491,2007ø
She Said (Remix),Jay Deelicious 95-98: The Delicious Vinyl Years,The Pharcyde,264.8,0.778,0.491,2006ø
She Said (Mike Caren Remix),Sold My Soul: The Remix & Rarity Collection,The Pharcyde,254.1,0.756,0.491,2005ø
She Said (Fuzz Face & tWANK boy Remix),Sold My Soul: The Remix & Rarity Collection,The Pharcyde,274.3,0.756,0.491,2005ø
She Said,Labcabincalifornia,The Pharcyde,315.8,0.756,0.491,1995ø
Runnin' (Rae & Christian Remix),Sold My Soul: The Remix & Rarity Collection,The Pharcyde,385.2,0.756,0.491,1996ø
Runnin',Labcabincalifornia,The Pharcyde,296.3,0.756,0.491,1995ø
Rules & Regulations,Humboldt Beginnings,The Pharcyde,278.7,0.756,0.491,2004ø
Right b4,Humboldt Beginnings,The Pharcyde,229.7,0.756,0.491,2004ø
Return Of The B-Boy,Cydeways: Best of the Pharcyde,The Pharcyde,214.0,0.756,0.491,1992ø
Quinton's On The Way,Cydeways: Best of the Pharcyde,The Pharcyde,130.2,0.756,0.491,2001ø
Pharcyde,Labcabincalifornia,The Pharcyde,259.8,0.756,0.491,1995ø
Peace's Piece (skit),Humboldt Beginnings,The Pharcyde,54.6,0.756,0.491,2004ø
Passing Me By,Bizarre Ride II The Pharcyde,The Pharcyde,301.8,0.756,0.491,1992ø
Passin' Me By (Fly As Pie Remix),Sold My Soul: The Remix & Rarity Collection,The Pharcyde,294.0,0.756,0.491,2005ø
Passin' Me By (Brixton Flavour),Sold My Soul: The Remix & Rarity Collection,The Pharcyde,278.7,0.756,0.491,2005ø
Panty Raid,Cydeways: Best of the Pharcyde,The Pharcyde,244.2,0.756,0.491,2001ø
Pandemonium,Sold My Soul: The Remix & Rarity Collection,The Pharcyde,260.8,0.756,0.491,1994ø
Pack The Pipe,Bizarre Ride II,The Pharcyde,304.0,0.756,0.491,1992ø
Outro: Praise - Fastlife,Humboldt Beginnings,The Pharcyde,391.1,0.756,0.491,2004ø
Otha Fish (The Heavy Head O.G. Remix),Sold My Soul: The Remix & Rarity Collection,The Pharcyde,292.3,0.756,0.491,2005ø
Otha Fish (The Angel Mix),Sold My Soul: The Remix & Rarity Collection,The Pharcyde,330.1,0.756,0.491,2005ø
Otha Fish (L.A. Jay Remix),Sold My Soul: The Remix & Rarity Collection,The Pharcyde,337.0,0.756,0.491,1993ø
Otha Fish,Bizarre Ride II The Pharcyde,The Pharcyde,321.4,0.756,0.491,1992ø
On The DL,Bizarre Ride II,The Pharcyde,268.5,0.756,0.491,1992ø
Officer,Bizarre Ride II,The Pharcyde,240.4,0.756,0.491,1992ø
My Soul,Sold My Soul: The Remix & Rarity Collection,The Pharcyde,332.6,0.756,0.491,2005ø
Mr Lindsey (skit),Humboldt Beginnings,The Pharcyde,41.2,0.756,0.491,2004ø
Moment In Time,Labcabincalifornia,The Pharcyde,164.0,0.756,0.491,1995ø
Mixedgreens,Humboldt Beginnings,The Pharcyde,245.3,0.756,0.491,2004ø
Live @ Dodger Stadium,Sold My Soul: The Remix & Rarity Collection,The Pharcyde,232.9,0.756,0.491,2005ø
Little D,Labcabincalifornia,The Pharcyde,91.4,0.756,0.491,1995ø
Knew U,Humboldt Beginnings,The Pharcyde,191.1,0.756,0.491,2004ø
Keinon (skit),Humboldt Beginnings,The Pharcyde,41.8,0.756,0.491,2004ø
Just Don't Matter,Labcabincalifornia,The Pharcyde,358.0,0.756,0.491,1996ø
It's Jiggaboo Time,Bizarre Ride II The Pharcyde,The Pharcyde,86.3,0.756,0.491,2001ø
It's All Good,Labcabincalifornia,The Pharcyde,41.8,0.756,0.491,1995ø
Illusions,Humboldt Beginnings,The Pharcyde,226.4,0.756,0.491,2004ø
If I Were President,Bizarre Ride II The Pharcyde,The Pharcyde,61.5,0.756,0.491,1992ø
I'm That Type Of Nigga,Bizarre Ride II The Pharcyde,The Pharcyde,332.4,0.756,0.491,1992ø
Homegrown,Humboldt Beginnings,The Pharcyde,138.5,0.756,0.491,2004ø
Groupie Therapy,Labcabincalifornia,The Pharcyde,312.6,0.756,0.491,1995ø
Emerald Butterfly,Sold My Soul: The Remix & Rarity Collection,The Pharcyde,286.3,0.756,0.491,1996ø
Drop (Da Beatminerz Remix),Sold My Soul: The Remix & Rarity Collection,The Pharcyde,261.3,0.756,0.491,2005ø
Drop,Labcabincalifornia,The Pharcyde,336.4,0.756,0.491,1995ø
Devil Music,Cydeways: Best of the Pharcyde,The Pharcyde,254.1,0.756,0.491,1995ø
Dedication,Humboldt Beginnings,The Pharcyde,333.6,0.756,0.491,2004ø
Clouds,Humboldt Beginnings,The Pharcyde,114.3,0.756,0.491,2004ø
Bullshit,Labcabincalifornia,The Pharcyde,252.4,0.756,0.491,1995ø
Bongloads II,Humboldt Beginnings,The Pharcyde,232.9,0.756,0.491,2004ø
All Live,Labcabincalifornia,The Pharcyde,50.5,0.756,0.491,1995ø
4 Better Or 4 Worse,Bizarre Ride II The Pharcyde,The Pharcyde,304.7,0.756,0.491,1992ø
