Typical Girls,Cut,The Slits,239.8,0.74,0.509,1979ø
So Tough,Cut,The Slits,96.9,0.74,0.509,1979ø
Ping Pong Affair,Cut,The Slits,255.3,0.74,0.509,1979ø
Man Next Door,Woman In Rock,The Slits,68.2,0.74,0.509,1980ø
Love Und Romance,Cut,The Slits,148.0,0.74,0.509,1979ø
Lazy Slam,Trapped Animal,The Slits,237.3,0.74,0.509,2009ø
Instant Hit,Cut,The Slits,161.9,0.74,0.509,1979ø
Can't Relate,Trapped Animal,The Slits,276.7,0.74,0.509,2009ø
Animal Space,Woman In Rock,The Slits,104.3,0.74,0.509,1980ø
Vindictive,In The Beginning,The Slits,180.3,0.74,0.486,1980ø
Spend_ Spend_ Spend,Cut,The Slits,197.8,0.74,0.486,1979ø
Slits Tradition,Revenge Of The Killer Slits,The Slits,198.5,0.74,0.486,2006ø
Slime,In The Beginning,The Slits,146.5,0.74,0.486,1980ø
Shoplifting,Cut,The Slits,88.3,0.74,0.486,1979ø
Reject,Trapped Animal,The Slits,156.4,0.74,0.486,2009ø
Peer Pressure,Trapped Animal,The Slits,226.6,0.74,0.486,2009ø
Partner From Hell,Trapped Animal,The Slits,298.2,0.74,0.486,2009ø
Number One Enemy,In The Beginning,The Slits,133.5,0.74,0.486,1980ø
Newtown,Cut,The Slits,208.1,0.74,0.486,1979ø
New Town,In The Beginning,The Slits,244.7,0.74,0.486,1991ø
Love And Romance,Kats Karavan - The History Of John Peel On The Radio,The Slits,144.8,0.74,0.486,1987ø
Liebe And Romanze,Cut,The Slits,285.3,0.74,0.486,1979ø
Kill Them With Love,Revenge Of The Killer Slits,The Slits,247.4,0.74,0.486,2006ø
Issues,Trapped Animal,The Slits,217.2,0.74,0.486,2009ø
In The Beginning_ There Was Rhythm,Cut,The Slits,352.5,0.74,0.486,1979ø
I Heard It Through The Grapevine,Woman In Rock,The Slits,114.5,0.74,0.486,1979ø
Had A Day,Trapped Animal,The Slits,261.9,0.74,0.486,2009ø
Fm,Cut,The Slits,214.1,0.74,0.486,1979ø
Dubby Gypsy,Trapped Animal,The Slits,253.2,0.74,0.486,2009ø
Be It,Trapped Animal,The Slits,276.7,0.74,0.486,2009ø
Ask Ma,Trapped Animal,The Slits,336.0,0.74,0.486,2009ø
Adventures Close To Home,Cut,The Slits,216.9,0.74,0.486,1979ø
A Boring Life,In The Beginning,The Slits,180.7,0.74,0.486,1980ø
