Yes Yes No,Baby... You're Bummin' My Life Out In A Supreme Fashion,Thelonious Monster,95.1,0.472,0.374,1986ø
Union Street,Baby... You're Bummin' My Life Out In A Supreme Fashion,Thelonious Monster,209.1,0.472,0.374,1986ø
Twenty-Four Hours,Baby... You're Bummin' My Life Out In A Supreme Fashion,Thelonious Monster,50.6,0.472,0.374,1986ø
Try,Baby... You're Bummin' My Life Out In A Supreme Fashion,Thelonious Monster,163.0,0.472,0.374,1986ø
Thelonious Monster,Baby... You're Bummin' My Life Out In A Supreme Fashion,Thelonious Monster,162.9,0.472,0.374,1986ø
Psychofuckindelic,Baby... You're Bummin' My Life Out In A Supreme Fashion,Thelonious Monster,135.9,0.472,0.374,1986ø
Positive Train,Baby... You're Bummin' My Life Out In A Supreme Fashion,Thelonious Monster,202.4,0.472,0.374,1986ø
Life's A Groove,Baby... You're Bummin' My Life Out In A Supreme Fashion,Thelonious Monster,64.3,0.472,0.374,1986ø
Let Me In The House,Baby... You're Bummin' My Life Out In A Supreme Fashion,Thelonious Monster,311.6,0.472,0.374,1986ø
Joke Song,Baby... You're Bummin' My Life Out In A Supreme Fashion,Thelonious Monster,94.1,0.472,0.374,1986ø
Huck's Jam,Baby... You're Bummin' My Life Out In A Supreme Fashion,Thelonious Monster,56.3,0.472,0.374,1986ø
Happy #12 and #35,Baby... You're Bummin' My Life Out In A Supreme Fashion,Thelonious Monster,287.9,0.472,0.374,1986ø
...And The Rest Of The Band,Baby... You're Bummin' My Life Out In A Supreme Fashion,Thelonious Monster,225.3,0.472,0.374,1986ø
