Water at the Bar (Live),A Fine Kettle of Fish,Tiller's Folly,211.8,0.253,0.323,2004ø
Water At the Bar,A Ripple In Time,Tiller's Folly,175.2,0.253,0.323,2004ø
Together (Live),A Fine Kettle of Fish,Tiller's Folly,292.3,0.253,0.323,2004ø
The Ghosts of Read Island (Live),A Fine Kettle of Fish,Tiller's Folly,219.2,0.253,0.323,2004ø
The Ghosts of Read Island,The View from Here,Tiller's Folly,191.8,0.253,0.323,2004ø
Steamboatin' Jamiesons (Live),A Fine Kettle of Fish,Tiller's Folly,144.7,0.253,0.323,2004ø
Steamboatin' Jamiesons,Ghosts of the Mighty Fraser,Tiller's Folly,135.5,0.253,0.323,2004ø
Road to Skidigate (Live),A Fine Kettle of Fish,Tiller's Folly,351.8,0.253,0.323,2004ø
Mormond Braes (Live),A Fine Kettle of Fish,Tiller's Folly,232.7,0.253,0.323,2004ø
McCulloch's Wonder (Live),A Fine Kettle of Fish,Tiller's Folly,221.9,0.253,0.323,2004ø
McCulloch's Wonder,A Ripple In Time,Tiller's Folly,289.5,0.253,0.323,2004ø
Little Beggarman (Live),A Fine Kettle of Fish,Tiller's Folly,234.2,0.253,0.323,2004ø
John Tod (Live),A Fine Kettle of Fish,Tiller's Folly,236.4,0.253,0.323,2004ø
John Tod,Stirring Up Ghosts,Tiller's Folly,234.5,0.253,0.323,2004ø
Electric RR Line (Live),A Fine Kettle of Fish,Tiller's Folly,189.5,0.253,0.323,2004ø
Cuckoo's Nest (Live),A Fine Kettle of Fish,Tiller's Folly,296.5,0.253,0.323,2004ø
Chestnut Lane,A River So Wide,Tiller's Folly,276.0,0.253,0.323,2004ø
Chesnut Lane (Live),A Fine Kettle of Fish,Tiller's Folly,191.2,0.253,0.323,2004ø
Ashokan Farewell (Live),A Fine Kettle of Fish,Tiller's Folly,224.1,0.253,0.323,2004ø
As I Roved Out (Live),A Fine Kettle of Fish,Tiller's Folly,262.7,0.253,0.323,2004ø
A River So Wide (Live),A Fine Kettle of Fish,Tiller's Folly,276.9,0.253,0.323,2004ø
A River So Wide,A River So Wide,Tiller's Folly,215.7,0.253,0.323,2004ø
A Ripple in Time (Live),A Fine Kettle of Fish,Tiller's Folly,243.5,0.253,0.323,2004ø
A Ripple In Time,A Ripple In Time,Tiller's Folly,283.2,0.253,0.323,2004ø
