Toque De Timbaleiro,Tribal Bahia,Timbalada,185.5,0.542,0.374,1993ø
To Solto Mas Danco Agarrado,Alegria Original,Timbalada,222.9,0.542,0.374,2006ø
Timbalinda,Alegria Original,Timbalada,209.1,0.542,0.374,2006ø
Suplicio Sertanejo,Alegria Original,Timbalada,252.1,0.542,0.374,2006ø
Sorriso Livro,Alegria Original,Timbalada,240.4,0.542,0.374,2006ø
Shaulin Nago,Alegria Original,Timbalada,195.3,0.542,0.374,2006ø
Se Houver Um Tempo,Alegria Original,Timbalada,243.1,0.542,0.374,2006ø
Pedindo Pra Voltar,Alegria Original,Timbalada,157.9,0.542,0.374,2006ø
Maria Gosta,Alegria Original,Timbalada,213.8,0.542,0.374,2006ø
Maracaia,Alegria Original,Timbalada,242.1,0.542,0.374,2006ø
Fricote Da Terezinha,Tribal Bahia,Timbalada,200.1,0.542,0.374,1993ø
Catar Cavaco,Alegria Original,Timbalada,233.0,0.542,0.374,2006ø
Canto Pro Mar,Tribal Bahia,Timbalada,202.9,0.542,0.374,1993ø
Beija-Flor,Tribal Bahia,Timbalada,268.3,0.542,0.374,1993ø
Ai,Tribal Bahia,Timbalada,171.2,0.542,0.374,1998ø
A Latinha,Tribal Bahia,Timbalada,199.7,0.542,0.374,1998ø
