Via Padana Superiore,Ora E Per Sempre,Timoria,162.4,0.468,0.449,1997ø
Speed Ball,Ora E Per Sempre,Timoria,300.1,0.468,0.449,1997ø
Senza Vento,Ora E Per Sempre,Timoria,137.3,0.468,0.449,1993ø
Senza Far Rumore,Ora E Per Sempre,Timoria,350.6,0.468,0.449,1997ø
Sacrificio,Ora E Per Sempre,Timoria,335.8,0.468,0.449,1992ø
Message For You,Ritmo E Dolore,Timoria,236.3,0.468,0.449,1991ø
Macchine E Dollari,Ora E Per Sempre,Timoria,233.2,0.468,0.449,1988ø
La Nave,Ritmo E Dolore,Timoria,119.3,0.468,0.449,1991ø
Gloria (Fluxa Est),Ritmo E Dolore,Timoria,224.5,0.468,0.449,1991ø
Freedom,Ora E Per Sempre,Timoria,153.4,0.468,0.449,1993ø
Casamia,Ora E Per Sempre,Timoria,229.8,0.468,0.449,2002ø
Atti Osceni,Ora E Per Sempre,Timoria,188.4,0.468,0.449,1992ø
