You Set My Heart On Fire,I Love To Love - The Best Of,Tina Charles,192.8,0.637,0.447,1976ø
Why,I Love To Love - The Best Of,Tina Charles,296.8,0.637,0.447,1976ø
Rendezvous,I Love To Love - The Best Of,Tina Charles,204.7,0.637,0.447,2000ø
Makin' All The Right Moves,I Love To Love - The Best Of,Tina Charles,192.0,0.637,0.447,2000ø
Love Me Like A Lover,I Love To Love - The Best Of,Tina Charles,168.2,0.637,0.447,1976ø
Love Bug / Sweets For My Sweet,I Love To Love - The Best Of,Tina Charles,417.6,0.637,0.447,1991ø
Love Bug,Greatest Hits,Tina Charles,227.8,0.637,0.447,2004ø
It's Time For A Change Of Heart,I Love To Love - The Best Of,Tina Charles,308.5,0.637,0.447,1991ø
I'll Go Where Your Music Takes Me,I Love To Love - The Best Of,Tina Charles,288.4,0.637,0.447,1998ø
I Love To Love,Happy New Year!,Tina Charles,183.7,0.637,0.447,1976ø
Hold Me,I Love To Love - The Best Of,Tina Charles,251.2,0.637,0.447,1976ø
Halfway To Paradise,I Love To Love - The Best Of,Tina Charles,223.6,0.637,0.447,1991ø
Disco Love,I Love To Love - The Best Of,Tina Charles,186.5,0.637,0.447,1976ø
Disco Fever,I Love To Love - The Best Of,Tina Charles,250.7,0.637,0.447,1976ø
Dance Little Lady Dance,I Love To Love - The Best Of,Tina Charles,187.4,0.637,0.447,1987ø
Boogie 'Round The Clock,I Love To Love - The Best Of,Tina Charles,329.1,0.637,0.447,2000ø
Amazing Grace,I Love To Love - The Best Of,Tina Charles,355.9,0.637,0.447,1991ø
