Zoe,Territory,Tony Trischka,137.0,0.534,0.332,2008ø
The Next Big Thing,Territory,Tony Trischka,242.8,0.534,0.332,2008ø
Sean,Territory,Tony Trischka,119.3,0.534,0.332,2008ø
Salt River,Territory,Tony Trischka,163.2,0.534,0.332,2008ø
Rainbow Yoshi,Territory,Tony Trischka,148.6,0.534,0.332,2008ø
Old Stone Church,Territory,Tony Trischka,270.9,0.534,0.332,2008ø
Noah Came To Eden,Territory,Tony Trischka,254.7,0.534,0.332,2008ø
Molly And Tenbrooks,Territory,Tony Trischka,167.8,0.534,0.332,2008ø
Medley: Brightshade / Carolina Traveler / Casey Jones,Territory,Tony Trischka,238.2,0.534,0.332,2008ø
Leatherwing Bat,Territory,Tony Trischka,214.3,0.534,0.332,2008ø
Lake Flora,Territory,Tony Trischka,209.3,0.534,0.332,2008ø
Hawaii Slide-O,Territory,Tony Trischka,143.6,0.534,0.332,2008ø
Gourd Banza,Territory,Tony Trischka,105.9,0.534,0.332,2008ø
French Creek / Burning Springs,Territory,Tony Trischka,203.4,0.534,0.332,2008ø
Fox Chase,Territory,Tony Trischka,212.8,0.534,0.332,2008ø
Eighteen,Territory,Tony Trischka,114.5,0.534,0.332,2008ø
Banjoland,Territory,Tony Trischka,182.5,0.534,0.332,2008ø
