Your Eyes,Changing Places,Tord Gustavsen_ Harald Johnsen_ Jarle Vespestad,313.2,0.637,0.392,2003ø
Where Breathing Starts,Changing Places,Tord Gustavsen_ Harald Johnsen_ Jarle Vespestad,532.6,0.637,0.392,2003ø
Twins,The Ground,Tord Gustavsen_ Harald Johnsen_ Jarle Vespestad,297.5,0.637,0.392,2004ø
Turning Point,Changing Places,Tord Gustavsen_ Harald Johnsen_ Jarle Vespestad,349.7,0.637,0.392,2003ø
Token of Tango,The Ground,Tord Gustavsen_ Harald Johnsen_ Jarle Vespestad,251.4,0.637,0.392,2004ø
The Ground,The Ground,Tord Gustavsen_ Harald Johnsen_ Jarle Vespestad,436.2,0.637,0.392,2004ø
Tears Transforming,The Ground,Tord Gustavsen_ Harald Johnsen_ Jarle Vespestad,337.8,0.637,0.392,2004ø
Song of Yearning,Changing Places,Tord Gustavsen_ Harald Johnsen_ Jarle Vespestad,498.5,0.637,0.392,2003ø
Sentiment,The Ground,Tord Gustavsen_ Harald Johnsen_ Jarle Vespestad,334.0,0.637,0.392,2004ø
Reach Out and Touch It,The Ground,Tord Gustavsen_ Harald Johnsen_ Jarle Vespestad,349.0,0.637,0.392,2004ø
Melted Matter,Changing Places,Tord Gustavsen_ Harald Johnsen_ Jarle Vespestad,326.6,0.637,0.392,2003ø
Kneeling Down,The Ground,Tord Gustavsen_ Harald Johnsen_ Jarle Vespestad,348.4,0.637,0.392,2004ø
IGN,Changing Places,Tord Gustavsen_ Harald Johnsen_ Jarle Vespestad,275.4,0.637,0.392,2003ø
Graceful Touch_ Variation,Changing Places,Tord Gustavsen_ Harald Johnsen_ Jarle Vespestad,277.2,0.637,0.392,2003ø
Graceful Touch,Changing Places,Tord Gustavsen_ Harald Johnsen_ Jarle Vespestad,233.5,0.637,0.392,2003ø
Going Places,Changing Places,Tord Gustavsen_ Harald Johnsen_ Jarle Vespestad,336.9,0.637,0.392,2003ø
Deep as Love,Changing Places,Tord Gustavsen_ Harald Johnsen_ Jarle Vespestad,358.0,0.637,0.392,2003ø
Curtains Aside,The Ground,Tord Gustavsen_ Harald Johnsen_ Jarle Vespestad,314.6,0.637,0.392,2004ø
Colours of Mercy,The Ground,Tord Gustavsen_ Harald Johnsen_ Jarle Vespestad,369.2,0.637,0.392,2004ø
Being There,The Ground,Tord Gustavsen_ Harald Johnsen_ Jarle Vespestad,256.7,0.637,0.392,2004ø
At a Glance,Changing Places,Tord Gustavsen_ Harald Johnsen_ Jarle Vespestad,260.6,0.637,0.392,2003ø
