Trancendence,Trancendence,Tulku,277.6,0.503,0.35,1995ø
Time Dances Slowly,Trancendence,Tulku,155.5,0.503,0.35,1995ø
Temple Door,Trance Yoga,Tulku,254.8,0.503,0.35,2002ø
Sacred Circle,Trancendence,Tulku,129.5,0.503,0.35,1995ø
Rahda Ramana,Trance Yoga,Tulku,323.1,0.503,0.35,2002ø
Prayer to the Protector,Trancendence,Tulku,311.2,0.503,0.35,1995ø
Orca Song,Trancendence,Tulku,390.4,0.503,0.35,1995ø
Life Force (Kupuri),Trancendence,Tulku,292.2,0.503,0.35,1995ø
Journey of the Warrior,Trancendence,Tulku,394.9,0.503,0.35,1995ø
Golden Era,Trancendence,Tulku,361.7,0.503,0.35,1995ø
Ghost Dance,Trancendence,Tulku,270.9,0.503,0.35,1995ø
Anni Rose,Trancendence,Tulku,294.8,0.503,0.35,1995ø
Agua Sante,Trancendence,Tulku,485.0,0.503,0.35,1995ø
