You Get What You Want,The Trident,Unearthly Trance,241.1,0.715,0.42,2006ø
Where The Unbelievable Is Ordinary,The Trident,Unearthly Trance,317.2,0.715,0.42,2006ø
Wake Up And Smell The Corpses,The Trident,Unearthly Trance,322.4,0.715,0.42,2006ø
The Scum Is in Orbit,Electrocution,Unearthly Trance,260.1,0.715,0.42,2008ø
The Dust Will Never Settle,Electrocution,Unearthly Trance,300.1,0.715,0.42,2008ø
The Air Exits_ The Sea Accepts Me,The Trident,Unearthly Trance,269.7,0.715,0.42,2006ø
Scarlet,The Trident,Unearthly Trance,425.1,0.715,0.42,2003ø
Religious Slaves,Electrocution,Unearthly Trance,259.9,0.715,0.42,2008ø
Permanent Ice,The Trident,Unearthly Trance,288.3,0.715,0.42,2006ø
Long Gone,Like Black Holes in the Sky: The Tribute to Syd Barrett,Unearthly Trance,183.3,0.715,0.42,2008ø
Inself / Infinite,The Trident,Unearthly Trance,281.4,0.715,0.42,2006ø
God Is a Beast,Electrocution,Unearthly Trance,426.5,0.715,0.42,2008ø
Firebrand,The Trident,Unearthly Trance,364.7,0.715,0.42,2006ø
Diseased,Electrocution,Unearthly Trance,417.9,0.715,0.42,2008ø
Decrepitude,The Trident,Unearthly Trance,234.7,0.715,0.42,2006ø
Chaos Star,Electrocution,Unearthly Trance,288.2,0.715,0.42,2008ø
Burn You Insane,Electrocution,Unearthly Trance,352.8,0.715,0.42,2008ø
