Vampire In You,Uprising - The Remixes,Universal Poplab,325.9,0.555,0.386,2006ø
The Way Things Work,Seeds,Universal Poplab,241.9,0.555,0.386,2008ø
The Toast That Never Ends,Seeds,Universal Poplab,229.6,0.555,0.386,2008ø
The Message,Uprising,Universal Poplab,238.1,0.555,0.386,2006ø
Summer Struck,Seeds,Universal Poplab,180.0,0.555,0.386,2008ø
Soma Generation,Uprising,Universal Poplab,218.5,0.555,0.386,2006ø
Pearl,Seeds,Universal Poplab,208.4,0.555,0.386,2008ø
On The Run,Seeds,Universal Poplab,310.0,0.555,0.386,2008ø
New Beginnings,Uprising,Universal Poplab,295.7,0.555,0.386,2006ø
I Could Say I'm Sorry (Instrumental),I Could Say I'm Sorry,Universal Poplab,217.8,0.555,0.386,2006ø
I Could Say I'm Sorry,Uprising - The Remixes,Universal Poplab,225.1,0.555,0.386,2006ø
Heart Apart,Uprising,Universal Poplab,218.7,0.555,0.386,2006ø
Go Back To Sleep,Uprising,Universal Poplab,223.2,0.555,0.386,2006ø
Fame & Hate,Seeds,Universal Poplab,232.4,0.555,0.386,2008ø
Don't Believe The Hype,Seeds,Universal Poplab,333.7,0.555,0.386,2008ø
Black Love Song,Uprising - The Remixes,Universal Poplab,307.9,0.555,0.386,2006ø
Another Last Time,Seeds,Universal Poplab,194.9,0.555,0.386,2008ø
60 Is The New 40,Uprising,Universal Poplab,299.8,0.555,0.386,2006ø
