Whiggy Whiggle,Whigfield 2,Whigfield,215.5,0.597,0.417,1997ø
Think Of You ,Whigfield,Whigfield,461.2,0.696,0.417,1995ø
Summer Samba,Whigfield 2,Whigfield,228.8,0.597,0.417,1997ø
Sexy Eyes,All In One,Whigfield,227.5,0.597,0.417,1995ø
Saturday Night ,Saturday Night Single,Whigfield,232.1,0.597,0.417,1994ø
Out Of Sight,All In One,Whigfield,229.7,0.597,0.417,1995ø
No Tears To Cry,No Tears To Cry,Whigfield,226.9,0.597,0.417,1997ø
Last Christmas,Last Christmas - Single,Whigfield,483.9,0.597,0.417,1995ø
Gotta Getcha,Whigfield 4,Whigfield,226.7,0.597,0.417,2002ø
Givin' All My Love,Givin' All My Love - Single,Whigfield,349.0,0.597,0.417,1997ø
Gimme Gimme ,Gimme Gimme - Single,Whigfield,243.8,0.597,0.417,1996ø
Doo whop,Doo Whop,Whigfield,321.1,0.597,0.417,2000ø
Close To You,All In One,Whigfield,224.9,0.597,0.417,1995ø
Big Time,Big Time - Single,Whigfield,415.6,0.597,0.417,1995ø
Be My Baby,Be My Baby - Single,Whigfield,376.4,0.597,0.417,1999ø
Baby Boy,Baby Boy - Single,Whigfield,218.6,0.597,0.417,1997ø
