You're All I Need (LP Version),Mane Attraction,White Lion,269.0,0.71,0.428,1991ø
When The Children Cry,When The Children Cry - Greatest Hits,White Lion,209.3,0.71,0.428,1987ø
Warsong,Remembering White Lion: Greatest Hits,White Lion,378.0,0.71,0.428,1991ø
Wait,White Lion,White Lion,261.4,0.71,0.428,1987ø
Two People,Anthology:  '83 - '89,White Lion,244.5,0.71,0.428,2006ø
Till Death Do Us Part,Remembering White Lion: Greatest Hits,White Lion,258.8,0.71,0.428,1991ø
Til Death Do Us Part (LP Version),Mane Attraction,White Lion,333.1,0.71,0.428,1991ø
The Road To Valhalla,When The Children Cry - Greatest Hits,White Lion,308.7,0.71,0.428,1985ø
Tell Me,When The Children Cry - Greatest Hits,White Lion,278.5,0.71,0.428,1987ø
She's Got Everything,The Ultimate White Lion,White Lion,266.9,0.71,0.428,1991ø
Say Goodbye,When The Children Cry - Greatest Hits,White Lion,354.6,0.71,0.428,2006ø
Radar Love,When The Children Cry - Greatest Hits,White Lion,369.9,0.71,0.428,1989ø
Out With The Boys,Anthology:  '83 - '89,White Lion,268.7,0.71,0.428,1991ø
Love Don't Come Easy,Anthology:  '83 - '89,White Lion,253.2,0.71,0.428,1991ø
Lonely Nights,Remembering White Lion: Greatest Hits,White Lion,326.8,0.71,0.428,1987ø
Living On The Edge (LP Version),Big Game,White Lion,302.8,0.71,0.428,1989ø
Living On The Edge,White Lion,White Lion,328.2,0.71,0.428,1989ø
Little Fighter  (LP Version),Big Game,White Lion,262.8,0.71,0.428,1989ø
Little Fighter,The Ultimate White Lion,White Lion,295.4,0.71,0.428,1989ø
Lights And Thunder  (LP Version),Mane Attraction,White Lion,488.5,0.71,0.428,1991ø
Lights And Thunder,When The Children Cry - Greatest Hits,White Lion,411.9,0.71,0.428,1991ø
Leave Me Alone (LP Version),Mane Attraction,White Lion,266.9,0.71,0.428,1991ø
Lady Of The Valley,Anthology:  '83 - '89,White Lion,308.3,0.71,0.428,1987ø
It's Over (LP Version),Mane Attraction,White Lion,319.6,0.71,0.428,1991ø
If My Mind Is Evil (LP Version),Big Game,White Lion,296.8,0.71,0.428,1989ø
If My Mind Is Evil,Anthology:  '83 - '89,White Lion,303.8,0.71,0.428,1989ø
Hungry,When The Children Cry - Greatest Hits,White Lion,224.9,0.71,0.428,1987ø
Fight To Survive,The Ultimate White Lion,White Lion,383.5,0.71,0.428,1985ø
Farewell To You,Anthology:  '83 - '89,White Lion,266.7,0.71,0.428,1991ø
Evil Angels,Anthology:  '83 - '89,White Lion,281.1,0.71,0.428,2006ø
El Salvador,The Ultimate White Lion,White Lion,299.3,0.71,0.428,1985ø
Early Warning,Anthology:  '83 - '89,White Lion,278.2,0.71,0.428,2006ø
Don't Say It's Over (LP Version),Big Game,White Lion,244.1,0.71,0.428,1989ø
Dirty Woman (LP Version),Big Game,White Lion,207.0,0.71,0.428,1989ø
Cry For Freedom  (LP Version),Big Game,White Lion,371.3,0.71,0.428,1989ø
Cherokee,Anthology:  '83 - '89,White Lion,384.7,0.71,0.428,1985ø
Broken Home (LP Version),Big Game,White Lion,296.9,0.71,0.428,1989ø
Broken Home,The Ultimate White Lion,White Lion,346.9,0.71,0.428,1989ø
Broken Heart (LP Version),Mane Attraction,White Lion,248.3,0.71,0.428,1991ø
Broken Heart,White Lion,White Lion,265.0,0.71,0.428,1985ø
Blue Monday (LP Version),Mane Attraction,White Lion,263.4,0.71,0.428,1991ø
Back On The Streets,Anthology:  '83 - '89,White Lion,278.2,0.71,0.428,2006ø
Baby Be Mine (LP Version),Big Game,White Lion,249.7,0.71,0.428,1989ø
All The Fallen Men,Remembering White Lion: Greatest Hits,White Lion,312.4,0.71,0.428,1985ø
All Join Our Hands,Anthology:  '83 - '89,White Lion,245.7,0.71,0.428,1987ø
