You Gotta Say Yes To Another Excess,You Gotta Say Yes To Antother Excess,Yello,284.2,0.611,0.454,1983ø
Vicious Games,Yello 1980 - 1985 The New Mix In One Go,Yello,231.5,0.611,0.454,1985ø
How How,Zebra,Yello,354.6,0.611,0.454,1994ø
Bananas To The Beat,Yello 1980 - 1985 The New Mix In One Go,Yello,178.3,0.611,0.454,1980ø
Who's Gone?,Baby,Yello,221.8,0.611,0.424,1991ø
Tub Dub,Claro Que Si,Yello,105.3,0.611,0.424,1986ø
Tiger Dust,The Eye,Yello,300.8,0.611,0.424,2003ø
Tied Up,Essential,Yello,213.6,0.611,0.424,1988ø
The Evening's Young,Claro Que Si,Yello,293.4,0.611,0.424,1981ø
Sweet Thunder,Baby,Yello,328.4,0.611,0.424,1991ø
Suite 909,Zebra,Yello,380.0,0.611,0.424,1994ø
Star Breath,The Eye,Yello,318.5,0.611,0.424,2003ø
Stalakdrama,Stella,Yello,181.8,0.611,0.424,1985ø
Solar Driftwood,Pocket Universe,Yello,113.1,0.611,0.424,1997ø
She's Got A Gun,Claro Que Si,Yello,221.0,0.611,0.424,1981ø
Santiago,One Second,Yello,349.5,0.611,0.424,1987ø
Rubberbandman,Essential,Yello,220.5,0.611,0.424,1991ø
Pumping Velvet,You Gotta Say Yes To Antother Excess,Yello,298.1,0.611,0.424,1983ø
Poom Shanka,Zebra,Yello,207.9,0.611,0.424,1994ø
Planet Dada,The Eye,Yello,188.6,0.611,0.424,2003ø
Pinball Cha Cha,Claro Que Si,Yello,220.1,0.611,0.424,1981ø
Pan Blue,Pocket Universe,Yello,331.5,0.611,0.424,1997ø
On Track,Pocket Universe,Yello,332.6,0.611,0.424,1997ø
No More Roger,Claro Que Si,Yello,198.7,0.611,0.424,1981ø
Night Flanger,Solid Pleasure,Yello,295.1,0.611,0.424,1980ø
Nervous,The Eye,Yello,173.9,0.611,0.424,2003ø
Move Dance Be Born,Zebra,Yello,363.7,0.611,0.424,1994ø
Monolith,Pocket Universe,Yello,381.3,0.611,0.424,1997ø
Magneto,Solid Pleasure,Yello,167.8,0.611,0.424,1980ø
Let Me Cry,Stella,Yello,203.8,0.611,0.424,1983ø
I Love You,Essential,Yello,250.4,0.611,0.424,1983ø
Homage To The Mountain,Baby,Yello,37.7,0.611,0.424,1991ø
Goldrush,Essential,Yello,262.9,0.611,0.424,1986ø
Gluehead,Solid Pleasure,Yello,173.8,0.611,0.424,2005ø
Fat Cry,Zebra,Yello,251.5,0.611,0.424,1994ø
Eternal Legs,Solid Pleasure,Yello,251.6,0.611,0.424,1980ø
Drive / Driven,Essential,Yello,256.5,0.611,0.424,1991ø
Don Turbulento,The Eye,Yello,291.1,0.611,0.424,2003ø
Desire For Desire,Claro Que Si,Yello,255.9,0.611,0.424,2005ø
Daily Disco,Yello 1980 - 1985 The New Mix In One Go,Yello,248.6,0.611,0.424,1981ø
Cuad El Habib,Claro Que Si,Yello,204.5,0.611,0.424,1981ø
Coast To Polka,Solid Pleasure,Yello,117.2,0.611,0.424,1980ø
Capri Calling,Baby,Yello,182.0,0.611,0.424,1991ø
Blue Green,Solid Pleasure,Yello,328.1,0.611,0.424,1980ø
Bimbo,Solid Pleasure,Yello,218.8,0.611,0.424,1980ø
Base For Alec,Yello 1980 - 1985 The New Mix In One Go,Yello,174.3,0.611,0.424,1986ø
Assistant's Cry,Solid Pleasure,Yello,109.2,0.611,0.424,1980ø
