The Velvet Ant,Ten,cLOUDDEAD,169.5,0.609,0.382,2004ø
The Keen Teen Skip,Ten,cLOUDDEAD,319.5,0.609,0.382,2004ø
Son Of A Gun,Ten,cLOUDDEAD,348.1,0.609,0.382,2004ø
Rifle Eyes,Ten,cLOUDDEAD,233.9,0.609,0.382,2004ø
Rhymer's Only Room,Ten,cLOUDDEAD,143.1,0.609,0.382,2004ø
Pop Song,Ten,cLOUDDEAD,347.0,0.609,0.382,2004ø
Physics Of a Unicycle,Ten,cLOUDDEAD,256.0,0.609,0.382,2004ø
Mulholland,Dead Dogs Two,cLOUDDEAD,165.4,0.609,0.382,2004ø
JimmyBreeze,cLOUDDEAD,cLOUDDEAD,332.9,0.609,0.382,2001ø
I Promise Never To Get Paint On My Glasses Again.,cLOUDDEAD,cLOUDDEAD,361.9,0.609,0.382,2001ø
Dead Dogs Two (Boards of Canada remix),Well Deep: Ten Years Of Big Dada,cLOUDDEAD,300.0,0.609,0.382,2004ø
Dead Dogs Two,Dead Dogs Two,cLOUDDEAD,253.9,0.609,0.382,2004ø
Cloud Dead Number Five,cLOUDDEAD,cLOUDDEAD,360.3,0.609,0.382,2001ø
Bike,cLOUDDEAD,cLOUDDEAD,432.2,0.609,0.382,2001ø
Apt. A,cLOUDDEAD,cLOUDDEAD,385.8,0.609,0.382,2001ø
And All You Can Do Is Laugh,cLOUDDEAD,cLOUDDEAD,351.6,0.609,0.382,2001ø
3 Twenty,Ten,cLOUDDEAD,181.1,0.609,0.382,2004ø
